Matrix,Init Time (ms),Best Time (ms),Best col_frac,Best hot_frac
1138_bus,0.00608,0.00608,0.0,0.0
144,0.031103,0.031103,0.0,0.0
2D_27628_bjtcai,0.007691,0.007691,0.0,0.0
2D_54019_highK,0.008811,0.008811,0.0,0.0
2cubes_sphere,0.011903,0.011903,0.0,0.0
333SP,0.179202,0.179202,0.0,0.0
3D_28984_Tetra,0.009001,0.009001,0.0,0.0
3D_51448_3D,0.010316,0.010316,0.0,0.0
3Dspectralwave,0.157353,0.157353,0.0,0.0
3Dspectralwave2,0.073505,0.073505,0.0,0.0
3dtube,0.013713,0.013713,0.0,0.0
3elt,0.004731,0.004731,0.0,0.0
3elt_dual,0.005883,0.005883,0.0,0.0
494_bus,0.005838,0.005838,0.0,0.0
598a,0.024035,0.024035,0.0,0.0
662_bus,0.005979,0.005979,0.0,0.0
685_bus,0.004713,0.004713,0.0,0.0
ABACUS_shell_hd,0.005641,0.005641,0.0,0.0
ABACUS_shell_ld,0.005633,0.005633,0.0,0.0
ABACUS_shell_md,0.005599,0.005599,0.0,0.0
ABACUS_shell_ud,0.005712,0.005712,0.0,0.0
ACTIVSg10K,0.005654,0.005654,0.0,0.0
ACTIVSg2000,0.005002,0.005002,0.0,0.0
ACTIVSg70K,0.007261,0.007261,0.0,0.0
AS365,0.208932,0.208932,0.0,0.0
ASIC_100k,0.013868,0.013868,0.0,0.0
ASIC_100ks,0.010836,0.010836,0.0,0.0
ASIC_320k,0.018342,0.018342,0.0,0.0
ASIC_320ks,0.014037,0.014037,0.0,0.0
ASIC_680k,0.030811,0.030811,0.0,0.0
ASIC_680ks,0.01892,0.01892,0.0,0.0
Alemdar,0.005553,0.005553,0.0,0.0
Andrews,0.016549,0.016549,0.0,0.0
Baumann,0.009374,0.009374,0.0,0.0
BenElechi1,0.062749,0.062749,0.0,0.0
Binaryalphadigs_10NN,0.004896,0.004896,0.0,0.0
CAG_mat1916,0.006454,0.006454,0.0,0.0
CAG_mat364,0.005054,0.005054,0.0,0.0
CAG_mat72,0.00481,0.00481,0.0,0.0
CO,0.045218,0.045218,0.0,0.0
CSphd,0.01038,0.01038,0.0,0.0
California,0.008612,0.008612,0.0,0.0
Chebyshev1,0.00458,0.00458,0.0,0.0
Chebyshev2,0.019574,0.011567,0.85,0.3508555825871744
Chebyshev3,0.033829,0.032697,0.8333645103769711,0.42327818243537124
Chebyshev4,0.475309,0.453064,0.6627373502318541,0.41779511056254093
Chem97ZtZ,0.005655,0.005655,0.0,0.0
Chevron1,0.007828,0.007828,0.0,0.0
Chevron2,0.008654,0.008654,0.0,0.0
Chevron3,0.016131,0.016131,0.0,0.0
Chevron4,0.042935,0.042935,0.0,0.0
CollegeMsg,0.006507,0.006507,0.0,0.0
CurlCurl_0,0.005268,0.005268,0.0,0.0
CurlCurl_1,0.012813,0.012813,0.0,0.0
CurlCurl_2,0.054022,0.054022,0.0,0.0
