Matrix,Init0 Time (ms),Init1 Time (ms),Best Time (ms),Best col_frac,Best hot_frac
1138_bus,0.004957,0.004858,0.004858,1.0,1.0
144,0.026664,0.026822,0.026664,0.0,0.0
2D_27628_bjtcai,0.007089,0.010958,0.007089,0.0,0.0
2D_54019_highK,0.01101,0.035173,0.01101,0.0,0.0
2cubes_sphere,0.01671,0.013675,0.013675,1.0,1.0
333SP,0.31994,0.337833,0.31994,0.0,0.0
3D_28984_Tetra,0.008098,0.010682,0.008098,0.0,0.0
3D_51448_3D,0.011541,0.014198,0.011541,0.0,0.0
3Dspectralwave,0.304419,0.269793,0.269793,1.0,1.0
3Dspectralwave2,0.135925,0.125752,0.125752,1.0,1.0
3dtube,0.03745,0.03825,0.025403,0.45924889196586727,0.3337086111390219
3elt,0.004367,0.0045,0.004367,0.0,0.0
3elt_dual,0.00488,0.003695,0.003695,1.0,1.0
494_bus,0.004879,0.003992,0.003992,1.0,1.0
598a,0.020423,0.0205,0.020423,0.0,0.0
662_bus,0.004879,0.004263,0.004263,1.0,1.0
685_bus,0.00429,0.004095,0.004095,1.0,1.0
ABACUS_shell_hd,0.005925,0.00573,0.00573,1.0,1.0
ABACUS_shell_ld,0.005854,0.005722,0.005722,1.0,1.0
ABACUS_shell_md,0.006072,0.005777,0.005777,1.0,1.0
ABACUS_shell_ud,0.005866,0.005836,0.005836,1.0,1.0
ACTIVSg10K,0.00547,0.006859,0.00547,0.0,0.0
ACTIVSg2000,0.004927,0.005555,0.004927,0.0,0.0
ACTIVSg70K,0.006561,0.007369,0.006561,0.0,0.0
AS365,0.526501,0.558107,0.436104,0.7590804821477086,0.6593570684724934
ASIC_100k,0.011285,0.030144,0.011285,0.0,0.0
ASIC_100ks,0.008553,0.025531,0.008553,0.0,0.0
ASIC_320k,0.035565,0.081311,0.035565,0.0,0.0
ASIC_320ks,0.018131,0.064795,0.018131,0.0,0.0
ASIC_680k,0.054179,0.086168,0.054179,0.0,0.0
ASIC_680ks,0.041683,0.064886,0.041683,0.0,0.0
Alemdar,0.005029,0.004899,0.004899,1.0,1.0
Andrews,0.014869,0.014821,0.014821,1.0,1.0
Baumann,0.008412,0.008866,0.008412,0.0,0.0
BenElechi1,0.122364,0.110079,0.110079,1.0,1.0
Binaryalphadigs_10NN,0.004598,0.005466,0.004598,0.0,0.0
Bump_2911,1.097704,1.099888,1.097704,0.0,0.0
