Matrix,Init Time (ms),Best Time (ms),Best col_frac,Best hot_frac
Bump_2911,1.097542,1.097542,0.0,0.0
CoupCons3D,0.212118,0.210173,0.6770615388311981,0.12840435290631466
Cube_Coup_dt0,1.108492,1.049427,0.85,0.7
Cube_Coup_dt6,1.108908,1.049234,0.85,0.7
Flan_1565,0.996706,0.974403,0.5233492401044791,0.4231496138321017
GAP-road,1.170344,1.170344,0.0,0.0
GAP-web,16.819187,15.959501,0.47060343131391214,0.4361128478464501
Long_Coup_dt0,0.763895,0.763895,0.0,0.0
Long_Coup_dt6,0.763711,0.763711,0.0,0.0
ML_Geer,0.947517,0.891971,0.85,0.7
ML_Laplace,0.247461,0.241498,0.85,0.7
Queen_4147,2.646531,2.646531,0.0,0.0
RM07R,0.333941,0.333171,0.7244876837933226,0.7
af_shell10,0.468012,0.466925,0.8446206989650565,0.03393205953907023
arabic-2005,5.599157,5.36676,0.5488378126018572,0.3622139534569258
bone010,0.618968,0.594173,0.85,0.7
it-2004,10.116156,9.541525,0.7011965712122766,0.632892263213434
ldoor,0.425433,0.404433,0.7245072743361249,0.7
