Matrix,Init Time (ms),Best Time (ms),Best col_frac,Best hot_frac
bcsstm08,0.003126,0.003126,1,1
bcsstm09,0.003129,0.003129,1,1
bcsstm11,0.003141,0.003141,1,1
bcsstm23,0.003229,0.003229,1,1
bcsstm26,0.003357,0.003357,1,1
t3dl_e,0.003359,0.003359,1,1
bcsstm25,0.003387,0.003387,1,1
bcsstm21,0.003398,0.003398,1,1
t2dal_e,0.00341,0.00341,1,1
m3plates,0.003412,0.003412,1,1
bcsstm24,0.003442,0.003442,1,1
bibd_81_2,0.003451,0.003451,1,1
ch5-5-b3,0.003518,0.003518,1,1
G11,0.00353,0.00353,1,1
G50,0.003559,0.003559,1,1
L,0.00357,0.00357,1,1
G32,0.003571,0.003571,1,1
G33,0.003593,0.003593,1,1
G57,0.003596,0.003596,1,1
tub1000,0.003619,0.003619,1,1
G49,0.003627,0.003627,1,1
bwm2000,0.003628,0.003628,1,1
bcsstm39,0.003648,0.003648,1,1
commanche_dual,0.003652,0.003652,1,1
G48,0.003716,0.003716,1,1
G62,0.003719,0.003719,1,1
G67,0.003754,0.003754,1,1
G13,0.003769,0.003769,1,1
G12,0.003809,0.003809,1,1
epb0,0.003812,0.003812,1,1
stufe,0.003816,0.003816,1,1
G66,0.003835,0.003835,1,1
G65,0.003861,0.003861,1,1
G34,0.003888,0.003888,1,1
grid2,0.003899,0.003899,1,1
ukerbe1_dual,0.003913,0.003913,1,1
rw5151,0.003948,0.003948,1,1
diag,0.003978,0.003978,1,1
netz4504_dual,0.003978,0.003978,1,1
odepa400,0.004009,0.004009,1,1
lshp_265,0.004058,0.004058,1,1
dwt_307,0.00406,0.00406,1,1
662_bus,0.004063,0.004063,1,1
Trefethen_300,0.00407,0.00407,1,1
Trefethen_200,0.004081,0.004081,1,1
saylr1,0.004084,0.004084,1,1
lshp_577,0.004089,0.004089,1,1
rw496,0.004114,0.004114,1,1
pde225,0.004116,0.004116,1,1
bfwb398,0.004128,0.004128,1,1
nos2,0.004132,0.004132,1,1
dw256A,0.004139,0.004139,1,1
impcol_e,0.004143,0.004143,1,1
dwt_209,0.004146,0.004146,1,1
oscil_dcop_54,0.004155,0.004155,1,1
olm500,0.004156,0.004156,1,1
orbitRaising_1,0.004156,0.004156,1,1
dwa512,0.004162,0.004162,1,1
can_144,0.004163,0.004163,1,1
mesh2em5,0.00417,0.00417,1,1
oscil_dcop_35,0.00417,0.00417,1,1
ck400,0.004171,0.004171,1,1
gr_30_30,0.004171,0.004171,1,1
mesh3e1,0.004171,0.004171,1,1
mesh3em5,0.004171,0.004171,1,1
se,0.004171,0.004171,1,1
lshp1270,0.004173,0.004173,1,1
dwb512,0.004176,0.004176,1,1
dwt_221,0.004176,0.004176,1,1
lshp1561,0.004177,0.004177,1,1
oscil_dcop_25,0.004182,0.004182,1,1
oscil_dcop_04,0.004194,0.004194,1,1
oscil_dcop_30,0.004194,0.004194,1,1
jagmesh3,0.004197,0.004197,1,1
dwg961a,0.004198,0.004198,1,1
nos1,0.004202,0.004202,1,1
can_445,0.004207,0.004207,1,1
oscil_dcop_17,0.004208,0.004208,1,1
west0479,0.004209,0.004209,1,1
M10PI_n1,0.00421,0.00421,1,1
oscil_dcop_16,0.00421,0.00421,1,1
oscil_dcop_28,0.004211,0.004211,1,1
oscil_dcop_15,0.004212,0.004212,1,1
west0989,0.004212,0.004212,1,1
Pd,0.004213,0.004213,1,1
cdde6,0.004213,0.004213,1,1
jagmesh5,0.004213,0.004213,1,1
olm1000,0.004213,0.004213,1,1
oscil_dcop_48,0.004213,0.004213,1,1
rdb200l,0.004213,0.004213,1,1
uk,0.004213,0.004213,1,1
football,0.00422,0.00422,1,1
dw256B,0.004222,0.004222,1,1
mhdb416,0.004222,0.004222,1,1
qh768,0.004223,0.004223,1,1
494_bus,0.004224,0.004224,1,1
grid2_dual,0.004224,0.004224,1,1
sherman1,0.004225,0.004225,1,1
cdde1,0.004226,0.004226,1,1
cdde5,0.004226,0.004226,1,1
dwt_1007,0.004226,0.004226,1,1
dwt_869,0.004226,0.004226,1,1
jagmesh4,0.004226,0.004226,1,1
pde900,0.004226,0.004226,1,1
oscil_dcop_45,0.004228,0.004228,1,1
oscil_dcop_11,0.00423,0.00423,1,1
dwt_361,0.004231,0.004231,1,1
Trefethen_200b,0.004234,0.004234,1,1
oscil_dcop_47,0.004234,0.004234,1,1
oscil_dcop_19,0.004235,0.004235,1,1
ck656,0.004241,0.004241,1,1
L-9,0.004247,0.004247,1,1
young2c,0.004248,0.004248,1,1
ash292,0.004251,0.004251,1,1
oscil_dcop_43,0.004252,0.004252,1,1
lshp_778,0.004253,0.004253,1,1
oscil_dcop_03,0.004253,0.004253,1,1
oscil_dcop_09,0.004253,0.004253,1,1
fs_680_1,0.004254,0.004254,1,1
oscil_dcop_07,0.004255,0.004255,1,1
fs_680_2,0.004256,0.004256,1,1
bcsstk20,0.004262,0.004262,1,1
lshp_406,0.004268,0.004268,1,1
olm2000,0.004268,0.004268,1,1
oscil_dcop_53,0.004268,0.004268,1,1
oscil_dcop_57,0.004268,0.004268,1,1
oscil_dcop_33,0.004271,0.004271,1,1
fs_680_3,0.004281,0.004281,1,1
can_229,0.004284,0.004284,1,1
oscil_dcop_31,0.004284,0.004284,1,1
nnc261,0.004286,0.004286,1,1
gre_343,0.004287,0.004287,1,1
stufe-10,0.004287,0.004287,1,1
