Matrix,RunType,Run,col_frac,hot_frac,Time_ms,GFLOPS
cnr-2000,Baseline,1,0,0,0.173413,37.09
cnr-2000,Baseline,2,0,0,0.173561,37.06
cnr-2000,Baseline,3,0,0,0.173361,37.1
web-Stanford,Baseline,1,0,0,0.19387,23.86
web-Stanford,Baseline,2,0,0,0.193818,23.86
web-Stanford,Baseline,3,0,0,0.194007,23.84
com-Amazon,Baseline,1,0,0,0.147804,25.06
com-Amazon,Baseline,2,0,0,0.147738,25.07
com-Amazon,Baseline,3,0,0,0.147724,25.07
com-Youtube,Baseline,1,0,0,0.52839,22.62
com-Youtube,Baseline,2,0,0,0.529493,22.57
com-Youtube,Baseline,3,0,0,0.530203,22.54
cnr-2000,Manual,1,0.45,0.33,0.206472,31.15
cnr-2000,Manual,2,0.45,0.33,0.206961,31.08
cnr-2000,Manual,3,0.45,0.33,0.206288,31.18
web-Stanford,Manual,1,0.45,0.33,0.192474,24.03
web-Stanford,Manual,2,0.45,0.33,0.193218,23.94
web-Stanford,Manual,3,0.45,0.33,0.193041,23.96
com-Amazon,Manual,1,0.45,0.33,0.16133,22.96
com-Amazon,Manual,2,0.45,0.33,0.160653,23.05
com-Amazon,Manual,3,0.45,0.33,0.160099,23.13
com-Youtube,Manual,1,0.45,0.33,0.533411,22.4
com-Youtube,Manual,2,0.45,0.33,0.544618,21.94
com-Youtube,Manual,3,0.45,0.33,0.526237,22.71
cnr-2000,Bayesian,1,0,0,0.1744,N/A
cnr-2000,BayesianBest,1,0,0,0.174022,36.96
cnr-2000,BayesianBest,2,0,0,0.174113,36.94
cnr-2000,BayesianBest,3,0,0,0.173974,36.97
web-Stanford,Bayesian,1,1,1,0.1601,N/A
web-Stanford,BayesianBest,1,1,1,0.160366,28.84
web-Stanford,BayesianBest,2,1,1,0.160142,28.88
web-Stanford,BayesianBest,3,1,1,0.160222,28.87
com-Amazon,Bayesian,1,0.7947,0.4048,0.1343,N/A
com-Amazon,BayesianBest,1,0.7947,0.4048,0.138083,26.82
com-Amazon,BayesianBest,2,0.7947,0.4048,0.137554,26.92
com-Amazon,BayesianBest,3,0.7947,0.4048,0.137847,26.87
com-Youtube,Bayesian,1,1,1,0.4615,N/A
com-Youtube,BayesianBest,1,1,1,0.460043,25.98
com-Youtube,BayesianBest,2,1,1,0.4574,26.13
com-Youtube,BayesianBest,3,1,1,0.456512,26.18
