Matrix Name,Rows,NNZs,Parameters (colProp, rowProp),TC_nnz_ratio,du_spmv (ms),cdspmv (ms)
Bump_2911,2911419,127729899,(0.125, 0.1),0.362320,0.1693,0.5172
Bump_2911,2911419,127729899,(0.1875, 0.15),0.387795,0.2203,0.4902
Bump_2911,2911419,127729899,(0.25, 0.2),0.398398,0.2761,0.4635
Bump_2911,2911419,127729899,(0.3125, 0.25),0.405556,0.3348,0.4365
Bump_2911,2911419,127729899,(0.375, 0.3),0.412344,0.3952,0.4118
Bump_2911,2911419,127729899,(0.4375, 0.35),0.416345,0.4553,0.3873
Bump_2911,2911419,127729899,(0.5, 0.4),0.418655,0.5157,0.362
Bump_2911,2911419,127729899,(0.5625, 0.45),0.419305,0.5773,0.3377
Bump_2911,2911419,127729899,(0.625, 0.5),0.419532,0.6394,0.3128
Bump_2911,2911419,127729899,(0.6875, 0.55),0.419632,0.7024,0.2889
Bump_2911,2911419,127729899,(0.75, 0.6),0.419782,0.7643,0.2646
Bump_2911,2911419,127729899,(0.8125, 0.65),0.419404,0.8283,0.2408
Bump_2911,2911419,127729899,(0.875, 0.7),0.418474,0.8928,0.2165
CoupCons3D,416800,22322336,(0.125, 0.1),0.563779,0.02,0.0944
CoupCons3D,416800,22322336,(0.1875, 0.15),0.559827,0.0275,0.0905
CoupCons3D,416800,22322336,(0.25, 0.2),0.562232,0.0344,0.0874
CoupCons3D,416800,22322336,(0.3125, 0.25),0.553184,0.041,0.0823
CoupCons3D,416800,22322336,(0.375, 0.3),0.546101,0.0495,0.0777
CoupCons3D,416800,22322336,(0.4375, 0.35),0.542657,0.0606,0.0734
CoupCons3D,416800,22322336,(0.5, 0.4),0.548954,0.0723,0.0685
CoupCons3D,416800,22322336,(0.5625, 0.45),0.554274,0.083,0.0634
CoupCons3D,416800,22322336,(0.625, 0.5),0.555585,0.0923,0.0596
CoupCons3D,416800,22322336,(0.6875, 0.55),0.566118,0.0992,0.6197
CoupCons3D,416800,22322336,(0.75, 0.6),0.556401,0.1087,0.6284
CoupCons3D,416800,22322336,(0.8125, 0.65),0.557307,0.1175,0.5864
CoupCons3D,416800,22322336,(0.875, 0.7),0.559897,0.1252,0.7129
Cube_Coup_dt0,2164760,127206144,(0.125, 0.1),0.622408,0.0929,0.4818
Cube_Coup_dt0,2164760,127206144,(0.1875, 0.15),0.624581,0.1363,0.4574
Cube_Coup_dt0,2164760,127206144,(0.25, 0.2),0.624306,0.1776,0.4322
Cube_Coup_dt0,2164760,127206144,(0.3125, 0.25),0.623990,0.2188,0.4074
Cube_Coup_dt0,2164760,127206144,(0.375, 0.3),0.623946,0.2615,0.3826
Cube_Coup_dt0,2164760,127206144,(0.4375, 0.35),0.623907,0.3035,0.358
Cube_Coup_dt0,2164760,127206144,(0.5, 0.4),0.622176,0.3459,0.3332
Cube_Coup_dt0,2164760,127206144,(0.5625, 0.45),0.619819,0.3902,0.3084
Cube_Coup_dt0,2164760,127206144,(0.625, 0.5),0.617303,0.4346,0.2835
Cube_Coup_dt0,2164760,127206144,(0.6875, 0.55),0.615449,0.4796,0.2585
Cube_Coup_dt0,2164760,127206144,(0.75, 0.6),0.614580,0.5239,0.2335
