Matrix Name,Rows,NNZs,Parameters (colProp, rowProp),TC_nnz_ratio,du_spmv (ms),cdspmv (ms)
Bump_2911,2911419,127729899,(0.1875, 0.15),0.387795,0.1693,0.9471
Bump_2911,2911419,127729899,(0.25, 0.2),0.398398,0.223,0.8953
Bump_2911,2911419,127729899,(0.3125, 0.25),0.405556,0.2829,0.8429
Bump_2911,2911419,127729899,(0.375, 0.3),0.412344,0.3479,0.7935
Bump_2911,2911419,127729899,(0.4375, 0.35),0.416345,0.412,0.7433
Bump_2911,2911419,127729899,(0.5, 0.4),0.418655,0.4761,0.6945
Bump_2911,2911419,127729899,(0.5625, 0.45),0.419305,0.538,0.6448
Bump_2911,2911419,127729899,(0.625, 0.5),0.419532,0.6032,0.5931
Bump_2911,2911419,127729899,(0.6875, 0.55),0.419632,0.6683,0.5433
Bump_2911,2911419,127729899,(0.75, 0.6),0.419782,0.7335,0.493
Bump_2911,2911419,127729899,(0.8125, 0.65),0.419404,0.7986,0.444
Bump_2911,2911419,127729899,(0.875, 0.7),0.418474,0.8652,0.3935
CoupCons3D,416800,22322336,(0.1875, 0.15),0.559827,0.0165,0.1829
CoupCons3D,416800,22322336,(0.25, 0.2),0.562232,0.0305,0.1743
CoupCons3D,416800,22322336,(0.3125, 0.25),0.553184,0.0452,0.1642
CoupCons3D,416800,22322336,(0.375, 0.3),0.546101,0.0542,0.1529
CoupCons3D,416800,22322336,(0.4375, 0.35),0.542657,0.064,0.1431
CoupCons3D,416800,22322336,(0.5, 0.4),0.548954,0.0732,0.1327
CoupCons3D,416800,22322336,(0.5625, 0.45),0.554274,0.0804,0.1244
CoupCons3D,416800,22322336,(0.625, 0.5),0.555585,0.0926,0.1157
CoupCons3D,416800,22322336,(0.6875, 0.55),0.566118,0.0993,0.3419
CoupCons3D,416800,22322336,(0.75, 0.6),0.556401,0.1075,0.3505
CoupCons3D,416800,22322336,(0.8125, 0.65),0.557307,0.1159,0.332
CoupCons3D,416800,22322336,(0.875, 0.7),0.559897,0.1252,0.3387
Cube_Coup_dt0,2164760,127206144,(0.1875, 0.15),0.624581,0.1029,0.9539
Cube_Coup_dt0,2164760,127206144,(0.25, 0.2),0.624306,0.1521,0.9005
Cube_Coup_dt0,2164760,127206144,(0.3125, 0.25),0.623990,0.1994,0.8471
Cube_Coup_dt0,2164760,127206144,(0.375, 0.3),0.623946,0.247,0.7941
Cube_Coup_dt0,2164760,127206144,(0.4375, 0.35),0.623907,0.2952,0.7417
Cube_Coup_dt0,2164760,127206144,(0.5, 0.4),0.622176,0.342,0.6878
Cube_Coup_dt0,2164760,127206144,(0.5625, 0.45),0.619819,0.3903,0.6364
Cube_Coup_dt0,2164760,127206144,(0.625, 0.5),0.617303,0.4388,0.5835
Cube_Coup_dt0,2164760,127206144,(0.6875, 0.55),0.615449,0.4879,0.5301
Cube_Coup_dt0,2164760,127206144,(0.75, 0.6),0.614580,0.5368,0.4763
Cube_Coup_dt0,2164760,127206144,(0.8125, 0.65),0.614249,0.5856,0.4232
Cube_Coup_dt0,2164760,127206144,(0.875, 0.7),0.614697,0.6328,0.371
Cube_Coup_dt6,2164760,127206144,(0.1875, 0.15),0.624581,0.1029,0.954
Cube_Coup_dt6,2164760,127206144,(0.25, 0.2),0.624306,0.1521,0.9004
Cube_Coup_dt6,2164760,127206144,(0.3125, 0.25),0.623990,0.1995,0.8471
Cube_Coup_dt6,2164760,127206144,(0.375, 0.3),0.623946,0.2465,0.7941
Cube_Coup_dt6,2164760,127206144,(0.4375, 0.35),0.623907,0.2951,0.7417
Cube_Coup_dt6,2164760,127206144,(0.5, 0.4),0.622176,0.3418,0.6877
Cube_Coup_dt6,2164760,127206144,(0.5625, 0.45),0.619819,0.39,0.6367
Cube_Coup_dt6,2164760,127206144,(0.625, 0.5),0.617303,0.4386,0.5835
Cube_Coup_dt6,2164760,127206144,(0.6875, 0.55),0.615449,0.4877,0.5302
Cube_Coup_dt6,2164760,127206144,(0.75, 0.6),0.614580,0.5361,0.4767
Cube_Coup_dt6,2164760,127206144,(0.8125, 0.65),0.614249,0.584,0.4232
Cube_Coup_dt6,2164760,127206144,(0.875, 0.7),0.614697,0.6324,0.3712
Flan_1565,1564794,117406044,(0.1875, 0.15),0.481176,0.1187,0.8562
Flan_1565,1564794,117406044,(0.25, 0.2),0.477184,0.1763,0.8098
Flan_1565,1564794,117406044,(0.3125, 0.25),0.474757,0.2243,0.7635
Flan_1565,1564794,117406044,(0.375, 0.3),0.474120,0.2782,0.7159
Flan_1565,1564794,117406044,(0.4375, 0.35),0.472560,0.3341,0.668
Flan_1565,1564794,117406044,(0.5, 0.4),0.473063,0.3882,0.6209
Flan_1565,1564794,117406044,(0.5625, 0.45),0.473247,0.441,0.574
Flan_1565,1564794,117406044,(0.625, 0.5),0.473766,0.494,0.5266
Flan_1565,1564794,117406044,(0.6875, 0.55),0.474917,0.5453,0.4779
Flan_1565,1564794,117406044,(0.75, 0.6),0.475795,0.596,0.4311
Flan_1565,1564794,117406044,(0.8125, 0.65),0.477123,0.6465,0.3838
Flan_1565,1564794,117406044,(0.875, 0.7),0.482729,0.6967,0.3352
GAP-road,23947347,57708624,(0.1875, 0.15),0.128760,0.3212,1.0655
GAP-road,23947347,57708624,(0.25, 0.2),0.128007,0.4805,1.0201
GAP-road,23947347,57708624,(0.3125, 0.25),0.127773,0.605,0.9749
