Matrix Name,Rows,NNZs,Parameters (colProp, rowProp),TC_nnz_ratio,du_spmv (ms),cdspmv (ms)
Bump_2911,2911419,127729899,(0.125, 0.1),0.362320,0.171,0.9988
Bump_2911,2911419,127729899,(0.1875, 0.15),0.387795,0.2296,0.9474
Bump_2911,2911419,127729899,(0.25, 0.2),0.398398,0.2932,0.8951
Bump_2911,2911419,127729899,(0.3125, 0.25),0.405556,0.3619,0.8425
Bump_2911,2911419,127729899,(0.375, 0.3),0.412344,0.4289,0.7933
Bump_2911,2911419,127729899,(0.4375, 0.35),0.416345,0.4958,0.7434
Bump_2911,2911419,127729899,(0.5, 0.4),0.418655,0.5571,0.6944
Bump_2911,2911419,127729899,(0.5625, 0.45),0.419305,0.6235,0.6452
Bump_2911,2911419,127729899,(0.625, 0.5),0.419532,0.6903,0.5931
Bump_2911,2911419,127729899,(0.6875, 0.55),0.419632,0.7582,0.5436
Bump_2911,2911419,127729899,(0.75, 0.6),0.419782,0.8257,0.493
Bump_2911,2911419,127729899,(0.8125, 0.65),0.419404,0.8939,0.4441
Bump_2911,2911419,127729899,(0.875, 0.7),0.418474,0.9635,0.3936
CoupCons3D,416800,22322336,(0.125, 0.1),0.563779,0.0148,0.1918
CoupCons3D,416800,22322336,(0.1875, 0.15),0.559827,0.0318,0.1831
CoupCons3D,416800,22322336,(0.25, 0.2),0.562232,0.0468,0.1743
CoupCons3D,416800,22322336,(0.3125, 0.25),0.553184,0.0561,0.1645
CoupCons3D,416800,22322336,(0.375, 0.3),0.546101,0.0674,0.1529
CoupCons3D,416800,22322336,(0.4375, 0.35),0.542657,0.0775,0.1431
CoupCons3D,416800,22322336,(0.5, 0.4),0.548954,0.0841,0.1326
CoupCons3D,416800,22322336,(0.5625, 0.45),0.554274,0.0971,0.1244
CoupCons3D,416800,22322336,(0.625, 0.5),0.555585,0.1048,0.1158
CoupCons3D,416800,22322336,(0.6875, 0.55),0.566118,0.114,0.3419
CoupCons3D,416800,22322336,(0.75, 0.6),0.556401,0.1225,0.3506
CoupCons3D,416800,22322336,(0.8125, 0.65),0.557307,0.1337,0.3321
CoupCons3D,416800,22322336,(0.875, 0.7),0.559897,0.1438,0.3384
Cube_Coup_dt0,2164760,127206144,(0.125, 0.1),0.622408,0.1078,1.0049
Cube_Coup_dt0,2164760,127206144,(0.1875, 0.15),0.624581,0.1592,0.9539
Cube_Coup_dt0,2164760,127206144,(0.25, 0.2),0.624306,0.2078,0.9006
Cube_Coup_dt0,2164760,127206144,(0.3125, 0.25),0.623990,0.2563,0.8472
Cube_Coup_dt0,2164760,127206144,(0.375, 0.3),0.623946,0.3054,0.7939
Cube_Coup_dt0,2164760,127206144,(0.4375, 0.35),0.623907,0.3522,0.7417
Cube_Coup_dt0,2164760,127206144,(0.5, 0.4),0.622176,0.4014,0.6877
Cube_Coup_dt0,2164760,127206144,(0.5625, 0.45),0.619819,0.4517,0.6367
Cube_Coup_dt0,2164760,127206144,(0.625, 0.5),0.617303,0.5022,0.5835
Cube_Coup_dt0,2164760,127206144,(0.6875, 0.55),0.615449,0.5529,0.5303
Cube_Coup_dt0,2164760,127206144,(0.75, 0.6),0.614580,0.6021,0.4765
Cube_Coup_dt0,2164760,127206144,(0.8125, 0.65),0.614249,0.6504,0.4233
Cube_Coup_dt0,2164760,127206144,(0.875, 0.7),0.614697,0.7001,0.3711
