Matrix Name,cd_perf (ms),cusparse_perf (ms)
1138_bus,0.0059,0.0092
144,0.0311,0.0329
2D_27628_bjtcai,0.0075,0.0104
2D_54019_highK,0.0088,0.0124
2cubes_sphere,0.0118,0.0161
333SP,0.1794,0.1824
3D_28984_Tetra,0.0087,0.0109
3D_51448_3D,0.0102,0.0126
3Dspectralwave,0.1574,0.2208
3Dspectralwave2,0.0736,0.0991
3dtube,0.0134,0.0235
3elt,0.0047,0.0089
3elt_dual,0.0059,0.0101
494_bus,0.0058,0.0086
598a,0.0241,0.0270
662_bus,0.0060,0.0095
685_bus,0.0046,0.0085
ABACUS_shell_hd,0.0059,0.0099
ABACUS_shell_ld,0.0056,0.0097
ABACUS_shell_md,0.0056,0.0096
ABACUS_shell_ud,0.0056,0.0096
ACTIVSg10K,0.0057,0.0095
ACTIVSg2000,0.0048,0.0090
ACTIVSg70K,0.0073,0.0105
AS365,0.2096,0.2078
ASIC_100k,0.0139,0.0144
ASIC_100ks,0.0109,0.0114
ASIC_320k,0.0181,0.0220
ASIC_320ks,0.0140,0.0184
ASIC_680k,0.0311,0.0319
ASIC_680ks,0.0189,0.0211
Alemdar,0.0055,0.0095
Andrews,0.0165,0.0220
Baumann,0.0094,0.0115
BenElechi1,0.0628,0.0878
Binaryalphadigs_10NN,0.0049,0.0086
Bump_2911,0.5581,0.7841
CAG_mat1916,0.0064,0.0094
CAG_mat364,0.0053,0.0090
CAG_mat72,0.0047,0.0084
CO,0.0451,0.0565
CSphd,0.0103,0.0116
California,0.0084,0.0114
Chebyshev1,0.0045,0.0090
Chebyshev2,0.0196,0.0091
Chebyshev3,0.0339,0.0092
Chebyshev4,0.4755,0.0373
Chem97ZtZ,0.0057,0.0095
Chevron1,0.0077,0.0099
Chevron2,0.0086,0.0115
Chevron3,0.0153,0.0261
Chevron4,0.0427,0.0462
CollegeMsg,0.0065,0.0087
CoupCons3D,0.1031,0.1441
Cube_Coup_dt0,0.5312,0.7706
Cube_Coup_dt6,0.5312,0.7706
CurlCurl_0,0.0052,0.0091
CurlCurl_1,0.0127,0.0199
CurlCurl_2,0.0542,0.0612
CurlCurl_3,0.0770,0.0868
CurlCurl_4,0.1393,0.1595
DK01R,0.0051,0.0084
Dubcova1,0.0062,0.0100
Dubcova2,0.0090,0.0134
Dubcova3,0.0179,0.0270
EAT_RS,0.0130,0.0128
EAT_SR,0.0107,0.0129
EPA,0.0111,0.0130
EVA,0.0283,0.0160
EX1,0.0047,0.0080
EX2,0.0049,0.0082
EX3,0.0054,0.0089
EX4,0.0052,0.0088
EX5,0.0065,0.0104
EX6,0.0064,0.0102
Ecoli_10NN,0.0047,0.0080
Emilia_923,0.1811,0.2542
Erdos02,0.0091,0.0120
Erdos971,0.0049,0.0087
Erdos972,0.0083,0.0105
Erdos981,0.0049,0.0095
Erdos982,0.0080,0.0107
Erdos991,0.0049,0.0092
Erdos992,0.0083,0.0119
F1,0.1253,0.1875
F2,0.0280,0.0422
FA,0.0067,0.0099
FEM_3D_thermal1,0.0068,0.0103
FEM_3D_thermal2,0.0133,0.0244
Fashion_MNIST_norm_10NN,0.0074,0.0107
Fault_639,0.1297,0.1829
Flan_1565,0.5000,0.7667
Freescale1,0.1327,0.1317
Freescale2,0.1537,0.1559
FullChip,0.1678,0.1854
G1,0.0053,0.0089
G10,0.0052,0.0085
G11,0.0044,0.0085
G12,0.0045,0.0086
G13,0.0046,0.0088
G14,0.0049,0.0081
G15,0.0050,0.0083
G16,0.0049,0.0083
G17,0.0050,0.0081
G18,0.0050,0.0083
G19,0.0049,0.0082
G2,0.0053,0.0086
G20,0.0049,0.0084
G21,0.0049,0.0083
G22,0.0054,0.0087
G23,0.0053,0.0086
G24,0.0054,0.0090
G25,0.0054,0.0088
G26,0.0055,0.0091
G27,0.0054,0.0088
G28,0.0055,0.0086
G29,0.0054,0.0087
G2_circuit,0.0121,0.0124
G3,0.0053,0.0087
G30,0.0053,0.0086
G31,0.0054,0.0089
G32,0.0046,0.0086
G33,0.0048,0.0089
G34,0.0048,0.0088
G35,0.0053,0.0091
G36,0.0052,0.0088
G37,0.0052,0.0088
G38,0.0052,0.0090
G39,0.0054,0.0091
G3_circuit,0.0646,0.0597
G4,0.0053,0.0086
G40,0.0051,0.0086
G41,0.0053,0.0091
G42,0.0052,0.0089
G43,0.0050,0.0083
G44,0.0051,0.0082
G45,0.0051,0.0084
G46,0.0051,0.0080
G47,0.0049,0.0082
G48,0.0046,0.0090
G49,0.0045,0.0089
G5,0.0052,0.0086
G50,0.0046,0.0089
G51,0.0050,0.0082
G52,0.0050,0.0082
G53,0.0050,0.0084
G54,0.0051,0.0082
G55,0.0052,0.0094
G56,0.0052,0.0095
G57,0.0048,0.0091
G58,0.0059,0.0092
G59,0.0058,0.0092
G6,0.0054,0.0089
G60,0.0058,0.0101
G61,0.0058,0.0097
G62,0.0048,0.0096
G63,0.0066,0.0096
G64,0.0067,0.0098
G65,0.0048,0.0095
G66,0.0048,0.0093
G67,0.0049,0.0094
G7,0.0053,0.0088
G8,0.0053,0.0088
G9,0.0053,0.0085
GAP-road,0.5925,0.5577
GAP-web,8.5920,12.7286
GD00_c,0.0064,0.0090
GD06_Java,0.0052,0.0089
GD96_a,0.0072,0.0102
GT01R,0.0068,0.0108
G_n_pin_pout,0.0160,0.0193
Ga10As10H30,0.0364,0.0463
Ga19As19H42,0.0499,0.0626
Ga3As3H12,0.0342,0.0437
Ga41As41H72,0.0917,0.1197
GaAsH6,0.0171,0.0256
Ge87H76,0.0462,0.0638
Ge99H100,0.0488,0.0645
Geo_1438,0.2743,0.3857
Glass_10NN,0.0046,0.0086
Goodwin_010,0.0057,0.0083
Goodwin_013,0.0057,0.0088
Goodwin_017,0.0056,0.0091
Goodwin_023,0.0063,0.0097
Goodwin_030,0.0071,0.0099
Goodwin_040,0.0081,0.0109
Goodwin_054,0.0090,0.0128
Goodwin_071,0.0102,0.0175
Goodwin_095,0.0145,0.0229
Goodwin_127,0.0333,0.0424
H2O,0.0134,0.0196
HEP-th-new,0.0181,0.0158
HEP-th,0.0175,0.0150
HTC_336_4438,0.0162,0.0127
HTC_336_9129,0.0165,0.0127
HV15R,1.2006,2.1117
Hamrle2,0.0060,0.0103
Hamrle3,0.0586,0.0456
Hardesty1,0.0881,0.0781
Harvard500,0.0059,0.0089
Hook_1498,0.2734,0.3700
Ill_Stokes,0.0078,0.0112
JapaneseVowelsSmall_10NN,0.0059,0.0092
Journals,0.0046,0.0083
Kaufhold,0.0051,0.0096
Kohonen,0.0132,0.0122
Kuu,0.0068,0.0102
L-9,0.0063,0.0093
L,0.0055,0.0090
LF10000,0.0050,0.0094
LFAT5000,0.0058,0.0094
LeGresley_2508,0.0050,0.0095
LeGresley_4908,0.0054,0.0096
LeGresley_87936,0.0114,0.0115
Lederberg,0.0090,0.0109
Lin,0.0114,0.0178
Linux_call_graph,0.0180,0.0165
Long_Coup_dt0,0.3685,0.5315
Long_Coup_dt6,0.3685,0.5318
M10PI_n,0.0056,0.0092
M10PI_n1,0.0058,0.0090
M20PI_n,0.0055,0.0093
M20PI_n1,0.0057,0.0095
M40PI_n,0.0056,0.0096
M40PI_n1,0.0057,0.0093
M6,0.1938,0.1897
M80PI_n,0.0061,0.0097
M80PI_n1,0.0056,0.0100
MISKnowledgeMap,0.0059,0.0096
ML_Geer,0.4686,0.7187
ML_Laplace,0.1261,0.1905
Muu,0.0056,0.0091
NACA0015,0.0666,0.0633
NLR,0.2266,0.2271
Na5,0.0073,0.0100
NotreDame_www,0.0842,0.0320
NotreDame_yeast,0.0072,0.0099
ODLIS,0.0050,0.0092
OPF_10000,0.0139,0.0109
OPF_3754,0.0060,0.0097
OPF_6000,0.0111,0.0103
Olivetti_norm_10NN,0.0048,0.0085
Oregon-1,0.0683,0.0104
Oregon-2,0.0690,0.0105
PFlow_742,0.1835,0.2379
PGPgiantcompo,0.0079,0.0105
PR02R,0.0444,0.0581
Pd,0.0075,0.0106
Plants_10NN,0.0049,0.0087
Pres_Poisson,0.0073,0.0116
Queen_4147,1.3930,2.1796
RFdevice,0.0103,0.0106
RM07R,0.1695,0.2704
Raj1,0.0157,0.0144
Reuters911,0.0089,0.0120
Roget,0.0052,0.0090
S10PI_n,0.0056,0.0091
