Matrix Name,cd_perf (ms),cusparse_perf (ms)
1138_bus,0.0060,0.0137
144,0.0254,0.0390
2D_27628_bjtcai,0.0063,0.0155
2D_54019_highK,0.0096,0.0175
2cubes_sphere,0.0138,0.0215
333SP,0.1812,0.1948
3D_28984_Tetra,0.0072,0.0162
3D_51448_3D,0.0099,0.0177
3Dspectralwave,0.2791,0.2271
3Dspectralwave2,0.1201,0.1054
3dtube,0.0232,0.0288
3elt,0.0046,0.0135
3elt_dual,0.0057,0.0147
494_bus,0.0057,0.0122
598a,0.0198,0.0324
662_bus,0.0059,0.0135
685_bus,0.0047,0.0130
ABACUS_shell_hd,0.0056,0.0150
ABACUS_shell_ld,0.0055,0.0150
ABACUS_shell_md,0.0055,0.0147
ABACUS_shell_ud,0.0054,0.0146
ACTIVSg10K,0.0053,0.0143
ACTIVSg2000,0.0046,0.0134
ACTIVSg70K,0.0072,0.0159
AS365,0.2067,0.2205
ASIC_100k,0.0124,0.0195
ASIC_100ks,0.0073,0.0171
ASIC_320k,0.0198,0.0279
ASIC_320ks,0.0139,0.0246
ASIC_680k,0.0310,0.0396
ASIC_680ks,0.0188,0.0290
Alemdar,0.0053,0.0141
Andrews,0.0137,0.0277
Baumann,0.0071,0.0172
BenElechi1,0.1018,0.0933
Binaryalphadigs_10NN,0.0046,0.0126
Bump_2911,0.9916,0.7924
CAG_mat1916,0.0061,0.0134
CAG_mat364,0.0048,0.0126
CAG_mat72,0.0046,0.0117
CO,0.0688,0.0620
CSphd,0.0103,0.0157
California,0.0084,0.0161
Chebyshev1,0.0043,0.0124
Chebyshev2,0.0194,0.0135
Chebyshev3,0.0337,0.0139
Chebyshev4,0.5861,0.0424
Chem97ZtZ,0.0054,0.0138
Chevron1,0.0064,0.0151
Chevron2,0.0078,0.0171
Chevron3,0.0201,0.0324
Chevron4,0.0514,0.0528
CollegeMsg,0.0064,0.0131
CoupCons3D,0.1790,0.1504
Cube_Coup_dt0,0.9740,0.7798
Cube_Coup_dt6,0.9739,0.7796
CurlCurl_0,0.0051,0.0140
CurlCurl_1,0.0142,0.0255
CurlCurl_2,0.0612,0.0678
CurlCurl_3,0.0895,0.0944
CurlCurl_4,0.1655,0.1684
DK01R,0.0048,0.0123
Dubcova1,0.0059,0.0149
Dubcova2,0.0096,0.0186
Dubcova3,0.0226,0.0333
EAT_RS,0.0096,0.0179
EAT_SR,0.0088,0.0179
EPA,0.0111,0.0177
EVA,0.0284,0.0209
EX1,0.0046,0.0121
EX2,0.0045,0.0123
EX3,0.0051,0.0135
EX4,0.0052,0.0133
EX5,0.0061,0.0149
EX6,0.0062,0.0152
Ecoli_10NN,0.0044,0.0118
Emilia_923,0.3252,0.2611
Erdos02,0.0093,0.0168
Erdos971,0.0046,0.0123
Erdos972,0.0085,0.0150
Erdos981,0.0048,0.0131
Erdos982,0.0082,0.0154
Erdos991,0.0047,0.0130
Erdos992,0.0085,0.0166
F1,0.2347,0.1936
F2,0.0457,0.0478
FA,0.0064,0.0147
FEM_3D_thermal1,0.0063,0.0155
FEM_3D_thermal2,0.0195,0.0307
Fashion_MNIST_norm_10NN,0.0071,0.0157
Fault_639,0.2265,0.1898
Flan_1565,0.9687,0.7745
Freescale1,0.1388,0.1449
Freescale2,0.1901,0.1663
FullChip,0.1889,0.1966
G1,0.0049,0.0126
G10,0.0050,0.0126
G11,0.0043,0.0126
G12,0.0045,0.0125
G13,0.0046,0.0125
G14,0.0047,0.0123
G15,0.0046,0.0120
G16,0.0046,0.0121
G17,0.0048,0.0122
G18,0.0047,0.0126
G19,0.0047,0.0127
G2,0.0048,0.0125
G20,0.0046,0.0121
G21,0.0048,0.0124
G22,0.0050,0.0134
G23,0.0051,0.0131
G24,0.0052,0.0134
G25,0.0050,0.0131
G26,0.0052,0.0133
G27,0.0051,0.0133
G28,0.0053,0.0130
G29,0.0051,0.0131
G2_circuit,0.0088,0.0183
G3,0.0049,0.0128
G30,0.0052,0.0130
G31,0.0051,0.0132
G32,0.0046,0.0132
G33,0.0043,0.0130
G34,0.0043,0.0130
G35,0.0050,0.0131
G36,0.0049,0.0131
G37,0.0050,0.0133
G38,0.0050,0.0130
G39,0.0050,0.0135
G3_circuit,0.0634,0.0676
G4,0.0050,0.0129
G40,0.0048,0.0129
G41,0.0049,0.0130
G42,0.0049,0.0129
G43,0.0048,0.0125
G44,0.0049,0.0126
G45,0.0046,0.0121
G46,0.0048,0.0124
G47,0.0046,0.0122
G48,0.0046,0.0131
G49,0.0043,0.0134
G5,0.0051,0.0129
G50,0.0044,0.0131
G51,0.0048,0.0123
G52,0.0047,0.0126
G53,0.0048,0.0126
G54,0.0049,0.0125
G55,0.0053,0.0144
G56,0.0053,0.0143
G57,0.0044,0.0140
G58,0.0054,0.0136
G59,0.0055,0.0140
G6,0.0049,0.0126
G60,0.0056,0.0147
G61,0.0058,0.0146
G62,0.0044,0.0138
G63,0.0065,0.0144
G64,0.0065,0.0146
G65,0.0045,0.0138
G66,0.0046,0.0145
G67,0.0045,0.0141
G7,0.0049,0.0125
G8,0.0050,0.0129
G9,0.0050,0.0128
GD00_c,0.0063,0.0130
GD06_Java,0.0048,0.0129
GD96_a,0.0070,0.0141
GT01R,0.0065,0.0155
G_n_pin_pout,0.0140,0.0248
Ga10As10H30,0.0573,0.0519
Ga19As19H42,0.0786,0.0682
Ga3As3H12,0.0613,0.0488
Ga41As41H72,0.1608,0.1257
GaAsH6,0.0270,0.0318
Ge87H76,0.0682,0.0681
Ge99H100,0.0733,0.0697
Geo_1438,0.5028,0.3930
Glass_10NN,0.0046,0.0123
Goodwin_010,0.0055,0.0125
Goodwin_013,0.0054,0.0129
Goodwin_017,0.0053,0.0134
Goodwin_023,0.0061,0.0143
Goodwin_030,0.0065,0.0149
Goodwin_040,0.0078,0.0159
Goodwin_054,0.0106,0.0179
Goodwin_071,0.0150,0.0229
Goodwin_095,0.0229,0.0288
Goodwin_127,0.0504,0.0473
H2O,0.0181,0.0252
HEP-th-new,0.0140,0.0212
HEP-th,0.0156,0.0203
HTC_336_4438,0.0096,0.0189
HTC_336_9129,0.0096,0.0190
HV15R,2.5868,2.1184
Hamrle2,0.0058,0.0149
Hamrle3,0.0492,0.0532
Hardesty1,0.0837,0.0852
Harvard500,0.0058,0.0125
Hook_1498,0.5034,0.3782
Ill_Stokes,0.0076,0.0164
JapaneseVowelsSmall_10NN,0.0056,0.0141
Journals,0.0044,0.0116
Kaufhold,0.0050,0.0145
Kohonen,0.0131,0.0166
Kuu,0.0059,0.0148
L-9,0.0062,0.0144
L,0.0054,0.0127
LF10000,0.0050,0.0147
LFAT5000,0.0059,0.0147
LeGresley_2508,0.0049,0.0138
LeGresley_4908,0.0053,0.0142
