Matrix Name,cd_perf (ms),cusparse_perf (ms)
1138_bus,0.0064,0.0133
144,0.0310,0.0390
2D_27628_bjtcai,0.0076,0.0154
2D_54019_highK,0.0088,0.0178
2cubes_sphere,0.0118,0.0215
333SP,0.1806,0.1951
3D_28984_Tetra,0.0088,0.0158
3D_51448_3D,0.0103,0.0181
3Dspectralwave,0.1576,0.2275
3Dspectralwave2,0.0733,0.1051
3dtube,0.0135,0.0292
3elt,0.0048,0.0136
3elt_dual,0.0060,0.0146
494_bus,0.0059,0.0125
598a,0.0240,0.0322
662_bus,0.0061,0.0134
685_bus,0.0049,0.0130
ABACUS_shell_hd,0.0058,0.0150
ABACUS_shell_ld,0.0057,0.0148
ABACUS_shell_md,0.0057,0.0149
ABACUS_shell_ud,0.0058,0.0150
ACTIVSg10K,0.0056,0.0142
ACTIVSg2000,0.0050,0.0139
ACTIVSg70K,0.0074,0.0160
AS365,0.2101,0.2206
ASIC_100k,0.0138,0.0195
ASIC_100ks,0.0110,0.0171
ASIC_320k,0.0184,0.0282
ASIC_320ks,0.0142,0.0241
ASIC_680k,0.0304,0.0395
ASIC_680ks,0.0195,0.0289
Alemdar,0.0057,0.0142
Andrews,0.0165,0.0273
Baumann,0.0094,0.0171
BenElechi1,0.0628,0.0934
Binaryalphadigs_10NN,0.0049,0.0126
CAG_mat1916,0.0064,0.0135
CAG_mat364,0.0052,0.0127
CAG_mat72,0.0050,0.0120
CO,0.0450,0.0620
CSphd,0.0105,0.0157
California,0.0087,0.0162
Chebyshev1,0.0045,0.0124
Chebyshev2,0.0195,0.0134
Chebyshev3,0.0342,0.0141
Chebyshev4,0.4747,0.0424
Chem97ZtZ,0.0059,0.0141
Chevron1,0.0078,0.0154
Chevron2,0.0088,0.0171
Chevron3,0.0154,0.0324
Chevron4,0.0430,0.0529
CollegeMsg,0.0065,0.0128
CurlCurl_0,0.0052,0.0139
CurlCurl_1,0.0128,0.0260
CurlCurl_2,0.0543,0.0681
CurlCurl_3,0.0772,0.0941
CurlCurl_4,0.1398,0.1682
DK01R,0.0050,0.0123
Dubcova1,0.0064,0.0155
Dubcova2,0.0089,0.0187
Dubcova3,0.0181,0.0336
EAT_RS,0.0132,0.0181
EAT_SR,0.0105,0.0179
EPA,0.0115,0.0179
EVA,0.0285,0.0211
EX1,0.0047,0.0121
EX2,0.0050,0.0123
EX3,0.0054,0.0131
EX4,0.0053,0.0132
EX5,0.0063,0.0149
EX6,0.0065,0.0153
Ecoli_10NN,0.0047,0.0115
Emilia_923,0.1809,0.2615
Erdos02,0.0094,0.0165
Erdos971,0.0052,0.0128
Erdos972,0.0086,0.0151
Erdos981,0.0051,0.0135
Erdos982,0.0085,0.0155
Erdos991,0.0051,0.0129
Erdos992,0.0085,0.0164
F1,0.1249,0.1937
F2,0.0280,0.0481
FA,0.0068,0.0150
FEM_3D_thermal1,0.0066,0.0152
FEM_3D_thermal2,0.0134,0.0309
Fashion_MNIST_norm_10NN,0.0074,0.0154
Fault_639,0.1291,0.1897
Freescale1,0.1343,0.1448
Freescale2,0.1554,0.1664
FullChip,0.1605,0.1971
G1,0.0053,0.0128
G10,0.0053,0.0129
G11,0.0045,0.0126
G12,0.0046,0.0130
G13,0.0046,0.0125
G14,0.0049,0.0122
G15,0.0050,0.0122
G16,0.0049,0.0121
G17,0.0049,0.0122
G18,0.0049,0.0120
G19,0.0050,0.0122
G2,0.0052,0.0126
G20,0.0049,0.0124
G21,0.0050,0.0124
G22,0.0055,0.0133
G23,0.0054,0.0131
G24,0.0054,0.0133
G25,0.0054,0.0131
G26,0.0053,0.0131
G27,0.0055,0.0134
G28,0.0054,0.0130
G29,0.0054,0.0132
G2_circuit,0.0125,0.0183
G3,0.0052,0.0128
G30,0.0053,0.0128
G31,0.0053,0.0130
G32,0.0049,0.0132
G33,0.0047,0.0128
G34,0.0048,0.0132
G35,0.0053,0.0133
G36,0.0051,0.0129
G37,0.0052,0.0130
G38,0.0051,0.0130
G39,0.0052,0.0131
G3_circuit,0.0655,0.0674
G4,0.0054,0.0127
G40,0.0053,0.0132
G41,0.0054,0.0133
G42,0.0053,0.0133
G43,0.0050,0.0124
G44,0.0050,0.0122
G45,0.0049,0.0123
G46,0.0052,0.0122
G47,0.0049,0.0121
G48,0.0046,0.0133
G49,0.0048,0.0133
G5,0.0054,0.0127
G50,0.0046,0.0132
G51,0.0052,0.0124
G52,0.0050,0.0126
G53,0.0050,0.0125
G54,0.0049,0.0123
G55,0.0056,0.0143
G56,0.0055,0.0142
G57,0.0047,0.0135
G58,0.0059,0.0141
G59,0.0059,0.0141
G6,0.0053,0.0128
G60,0.0059,0.0143
G61,0.0060,0.0144
G62,0.0049,0.0141
G63,0.0067,0.0141
G64,0.0067,0.0144
G65,0.0048,0.0139
G66,0.0047,0.0141
G67,0.0050,0.0144
G7,0.0052,0.0127
G8,0.0052,0.0128
G9,0.0053,0.0124
GD00_c,0.0066,0.0129
GD06_Java,0.0052,0.0131
GD96_a,0.0072,0.0140
GT01R,0.0069,0.0158
G_n_pin_pout,0.0161,0.0249
Ga10As10H30,0.0363,0.0518
Ga19As19H42,0.0499,0.0683
Ga3As3H12,0.0339,0.0489
Ga41As41H72,0.0913,0.1255
GaAsH6,0.0171,0.0318
Ge87H76,0.0461,0.0682
Ge99H100,0.0486,0.0697
Geo_1438,0.2746,0.3934
Glass_10NN,0.0046,0.0119
Goodwin_010,0.0059,0.0128
Goodwin_013,0.0059,0.0133
Goodwin_017,0.0058,0.0137
Goodwin_023,0.0062,0.0140
Goodwin_030,0.0072,0.0149
Goodwin_040,0.0083,0.0161
Goodwin_054,0.0092,0.0184
Goodwin_071,0.0104,0.0229
Goodwin_095,0.0146,0.0287
Goodwin_127,0.0327,0.0475
H2O,0.0134,0.0255
HEP-th-new,0.0187,0.0210
HEP-th,0.0180,0.0204
HTC_336_4438,0.0165,0.0190
HTC_336_9129,0.0166,0.0187
HV15R,1.2028,2.1184
Hamrle2,0.0061,0.0150
Hamrle3,0.0596,0.0534
Hardesty1,0.0887,0.0855
Harvard500,0.0059,0.0126
Hook_1498,0.2736,0.3778
Ill_Stokes,0.0079,0.0164
JapaneseVowelsSmall_10NN,0.0059,0.0140
Journals,0.0047,0.0118
Kaufhold,0.0053,0.0145
Kohonen,0.0135,0.0164
Kuu,0.0068,0.0149
L-9,0.0064,0.0146
L,0.0057,0.0131
LF10000,0.0052,0.0149
LFAT5000,0.0059,0.0146
LeGresley_2508,0.0051,0.0140
LeGresley_4908,0.0055,0.0142
LeGresley_87936,0.0118,0.0171
Lederberg,0.0094,0.0163
Lin,0.0116,0.0240
Linux_call_graph,0.0183,0.0228
M10PI_n,0.0057,0.0133
M10PI_n1,0.0057,0.0127
M20PI_n,0.0057,0.0138
M20PI_n1,0.0059,0.0139
M40PI_n,0.0058,0.0139
M40PI_n1,0.0060,0.0137
M6,0.1944,0.2016
M80PI_n,0.0064,0.0145
M80PI_n1,0.0060,0.0145
MISKnowledgeMap,0.0059,0.0136
Muu,0.0056,0.0139
NACA0015,0.0666,0.0705
NLR,0.2277,0.2419
Na5,0.0073,0.0146
NotreDame_www,0.0844,0.0381
NotreDame_yeast,0.0076,0.0143
ODLIS,0.0053,0.0138
OPF_10000,0.0144,0.0158
OPF_3754,0.0061,0.0147
OPF_6000,0.0115,0.0153
Olivetti_norm_10NN,0.0050,0.0124
Oregon-1,0.0685,0.0154
Oregon-2,0.0690,0.0157
PFlow_742,0.1841,0.2447
PGPgiantcompo,0.0081,0.0157
PR02R,0.0443,0.0639
Pd,0.0076,0.0149
Plants_10NN,0.0049,0.0128
Pres_Poisson,0.0072,0.0164
RFdevice,0.0104,0.0161
Raj1,0.0158,0.0206
Reuters911,0.0089,0.0168
Roget,0.0054,0.0129
S10PI_n,0.0058,0.0130
S10PI_n1,0.0058,0.0128
S20PI_n,0.0058,0.0134
S20PI_n1,0.0060,0.0136
S40PI_n,0.0058,0.0139
S40PI_n1,0.0059,0.0133
S80PI_n,0.0064,0.0145
S80PI_n1,0.0058,0.0145
SciMet,0.0079,0.0151
Serena,0.2793,0.3997
Si10H16,0.0083,0.0175
Si2,0.0051,0.0131
Si34H36,0.0276,0.0456
Si41Ge41H72,0.0766,0.1095
Si5H12,0.0083,0.0172
Si87H76,0.0585,0.0833
SiH4,0.0061,0.0140
SiNa,0.0061,0.0146
SiO,0.0101,0.0200
SiO2,0.0632,0.0833
Sieber,0.0049,0.0136
SmaGri,0.0060,0.0136
Spectro_10NN,0.0047,0.0123
Stanford,0.0423,0.0426
Stanford_Berkeley,0.0856,0.0632
StocF-1465,0.1351,0.1359
TEM152078,0.0374,0.0532
TEM181302,0.0449,0.0620
TEM27623,0.0079,0.0154
TS,0.0054,0.0130
TSC_OPF_1047,0.0131,0.0254
TSC_OPF_300,0.0085,0.0169
TSOPF_FS_b162_c1,0.0110,0.0162
TSOPF_FS_b162_c3,0.0141,0.0226
TSOPF_FS_b162_c4,0.0146,0.0260
TSOPF_FS_b300,0.0223,0.0476
TSOPF_FS_b300_c1,0.0224,0.0478
TSOPF_FS_b300_c2,0.0521,0.0959
TSOPF_FS_b300_c3,0.0729,0.1231
TSOPF_FS_b39_c19,0.0145,0.0237
TSOPF_FS_b39_c30,0.7288,0.0319
TSOPF_FS_b39_c7,0.0116,0.0167
TSOPF_FS_b9_c1,0.0055,0.0134
TSOPF_FS_b9_c6,0.0912,0.0147
TSOPF_RS_b162_c1,0.0058,0.0144
TSOPF_RS_b162_c3,0.0112,0.0164
TSOPF_RS_b162_c4,0.0116,0.0174
TSOPF_RS_b2052_c1,0.0427,0.0548
TSOPF_RS_b2383,0.0880,0.1173
TSOPF_RS_b2383_c1,0.0881,0.1178
TSOPF_RS_b300_c1,0.0124,0.0206
TSOPF_RS_b300_c2,0.0153,0.0305
TSOPF_RS_b300_c3,0.0188,0.0438
TSOPF_RS_b39_c19,0.0121,0.0166
TSOPF_RS_b39_c30,0.0137,0.0184
TSOPF_RS_b39_c7,0.0070,0.0152
TSOPF_RS_b678_c1,0.0188,0.0349
TSOPF_RS_b678_c2,0.0524,0.0665
TSOPF_RS_b9_c6,0.0061,0.0139
Transport,0.1212,0.1476
Trefethen_150,0.0046,0.0120
Trefethen_200,0.0046,0.0120
Trefethen_2000,0.0053,0.0130
Trefethen_20000,0.0077,0.0174
Trefethen_20000b,0.0076,0.0173
Trefethen_200b,0.0048,0.0122
Trefethen_300,0.0046,0.0117
Trefethen_500,0.0046,0.0123
Trefethen_700,0.0048,0.0127
USAir97,0.0052,0.0117
USpowerGrid,0.0065,0.0149
Vehicle_10NN,0.0048,0.0127
Wordnet3,0.0347,0.0174
YaleA_10NN,0.0047,0.0117
YaleB_10NN,0.0052,0.0140
Zd_Jac2,0.0173,0.0221
Zd_Jac2_db,0.0241,0.0182
Zd_Jac3,0.0175,0.0243
Zd_Jac3_db,0.0242,0.0179
Zd_Jac6,0.0176,0.0233
Zd_Jac6_db,0.0246,0.0184
Zewail,0.0107,0.0144
Zhao1,0.0062,0.0153
Zhao2,0.0062,0.0150
a0nsdsil,0.4850,0.0161
a2nnsnsl,0.4774,0.0163
a5esindl,0.3551,0.0154
