Matrix Name,cd_perf (ms),cusparse_perf (ms)
1138_bus,0.0046,0.0108
144,0.0266,0.0369
2D_27628_bjtcai,0.0067,0.0149
2D_54019_highK,0.0105,0.0190
2cubes_sphere,0.0161,0.0252
333SP,0.3157,0.3066
3D_28984_Tetra,0.0077,0.0156
3D_51448_3D,0.0109,0.0191
3Dspectralwave,0.2901,0.2930
3Dspectralwave2,0.1288,0.1311
3dtube,0.0356,0.0371
3elt,0.0041,0.0115
3elt_dual,0.0046,0.0121
494_bus,0.0048,0.0106
598a,0.0206,0.0298
662_bus,0.0045,0.0106
685_bus,0.0040,0.0110
ABACUS_shell_hd,0.0055,0.0130
ABACUS_shell_ld,0.0058,0.0133
ABACUS_shell_md,0.0056,0.0134
ABACUS_shell_ud,0.0055,0.0134
ACTIVSg10K,0.0051,0.0128
ACTIVSg2000,0.0046,0.0118
ACTIVSg70K,0.0064,0.0151
AS365,0.5233,0.4871
ASIC_100k,0.0108,0.0189
ASIC_100ks,0.0081,0.0166
ASIC_320k,0.0337,0.0343
ASIC_320ks,0.0172,0.0292
ASIC_680k,0.0517,0.0522
ASIC_680ks,0.0401,0.0404
Alemdar,0.0048,0.0123
Andrews,0.0140,0.0236
Baumann,0.0080,0.0186
BenElechi1,0.1168,0.1235
Binaryalphadigs_10NN,0.0046,0.0110
Bump_2911,1.0643,1.2035
CAG_mat1916,0.0057,0.0122
CAG_mat364,0.0044,0.0106
CAG_mat72,0.0041,0.0094
CO,0.0754,0.0758
CSphd,0.0057,0.0132
California,0.0061,0.0127
Chebyshev1,0.0040,0.0106
Chebyshev2,0.0115,0.0118
Chebyshev3,0.0171,0.0118
Chebyshev4,0.2731,0.0521
Chem97ZtZ,0.0043,0.0115
Chevron1,0.0058,0.0141
Chevron2,0.0081,0.0184
Chevron3,0.0437,0.0447
Chevron4,0.0743,0.0741
CollegeMsg,0.0050,0.0115
CoupCons3D,0.2010,0.2007
Cube_Coup_dt0,1.0559,1.1631
Cube_Coup_dt6,1.0559,1.1628
CurlCurl_0,0.0048,0.0125
CurlCurl_1,0.0293,0.0339
CurlCurl_2,0.0964,0.0985
CurlCurl_3,0.1406,0.1509
CurlCurl_4,0.2643,0.2967
DK01R,0.0043,0.0112
Dubcova1,0.0059,0.0140
Dubcova2,0.0114,0.0206
Dubcova3,0.0422,0.0427
EAT_RS,0.0112,0.0173
EAT_SR,0.0097,0.0170
EPA,0.0073,0.0142
EVA,0.0134,0.0195
EX1,0.0044,0.0105
EX2,0.0044,0.0108
EX3,0.0049,0.0118
EX4,0.0051,0.0118
EX5,0.0066,0.0135
EX6,0.0067,0.0137
Ecoli_10NN,0.0041,0.0104
Emilia_923,0.3501,0.3679
Erdos02,0.0060,0.0128
Erdos971,0.0046,0.0108
Erdos972,0.0058,0.0121
Erdos981,0.0045,0.0111
Erdos982,0.0061,0.0128
Erdos991,0.0043,0.0106
Erdos992,0.0059,0.0128
F1,0.2379,0.2351
F2,0.0526,0.0566
FA,0.0062,0.0136
FEM_3D_thermal1,0.0065,0.0148
FEM_3D_thermal2,0.0406,0.0420
Fashion_MNIST_norm_10NN,0.0070,0.0157
Fault_639,0.2465,0.2556
Flan_1565,0.9551,1.0479
Freescale1,0.2639,0.2939
Freescale2,0.2737,0.2935
FullChip,0.3232,0.3288
G1,0.0049,0.0114
G10,0.0047,0.0110
G11,0.0038,0.0108
G12,0.0039,0.0108
G13,0.0040,0.0106
G14,0.0043,0.0111
G15,0.0042,0.0107
G16,0.0044,0.0111
G17,0.0043,0.0108
G18,0.0042,0.0108
G19,0.0044,0.0109
G2,0.0046,0.0111
G20,0.0045,0.0111
G21,0.0043,0.0110
G22,0.0049,0.0119
G23,0.0049,0.0119
G24,0.0052,0.0123
G25,0.0049,0.0122
G26,0.0049,0.0123
G27,0.0051,0.0125
G28,0.0049,0.0118
G29,0.0049,0.0122
G2_circuit,0.0085,0.0192
G3,0.0045,0.0109
G30,0.0049,0.0119
G31,0.0051,0.0124
G32,0.0041,0.0109
G33,0.0042,0.0114
G34,0.0039,0.0110
G35,0.0047,0.0114
G36,0.0046,0.0113
G37,0.0046,0.0117
G38,0.0045,0.0113
G39,0.0046,0.0114
G3_circuit,0.1008,0.1176
G4,0.0047,0.0109
G40,0.0047,0.0115
G41,0.0048,0.0113
G42,0.0045,0.0115
G43,0.0045,0.0111
G44,0.0044,0.0111
G45,0.0044,0.0114
G46,0.0046,0.0114
G47,0.0047,0.0113
G48,0.0042,0.0116
G49,0.0042,0.0116
G5,0.0048,0.0114
G50,0.0041,0.0116
G51,0.0043,0.0108
G52,0.0045,0.0111
G53,0.0043,0.0109
G54,0.0045,0.0112
G55,0.0051,0.0124
G56,0.0048,0.0118
G57,0.0040,0.0115
G58,0.0062,0.0137
G59,0.0064,0.0136
G6,0.0046,0.0113
G60,0.0051,0.0124
G61,0.0050,0.0124
G62,0.0040,0.0117
G63,0.0062,0.0127
G64,0.0065,0.0131
G65,0.0041,0.0115
G66,0.0041,0.0118
G67,0.0043,0.0119
G7,0.0046,0.0111
G8,0.0048,0.0113
G9,0.0047,0.0113
GD00_c,0.0055,0.0110
GD06_Java,0.0043,0.0110
GD96_a,0.0049,0.0112
GT01R,0.0063,0.0140
G_n_pin_pout,0.0140,0.0233
Ga10As10H30,0.0601,0.0613
Ga19As19H42,0.0820,0.0834
Ga3As3H12,0.0575,0.0564
Ga41As41H72,0.1599,0.1603
GaAsH6,0.0375,0.0355
Ge87H76,0.0739,0.0760
Ge99H100,0.0782,0.0806
Geo_1438,0.5325,0.5858
Glass_10NN,0.0041,0.0102
Goodwin_010,0.0046,0.0112
Goodwin_013,0.0047,0.0117
Goodwin_017,0.0049,0.0122
Goodwin_023,0.0055,0.0127
Goodwin_030,0.0061,0.0138
