Matrix Name,cd_perf (ms),cusparse_perf (ms)
1138_bus,0.0048,0.0111
144,0.0270,0.0361
2D_27628_bjtcai,0.0071,0.0144
2D_54019_highK,0.0110,0.0188
2cubes_sphere,0.0167,0.0250
333SP,0.3196,0.3068
3D_28984_Tetra,0.0081,0.0155
3D_51448_3D,0.0115,0.0189
3Dspectralwave,0.3035,0.2925
3Dspectralwave2,0.1359,0.1330
3dtube,0.0375,0.0378
3elt,0.0044,0.0115
3elt_dual,0.0047,0.0119
494_bus,0.0048,0.0104
598a,0.0207,0.0296
662_bus,0.0048,0.0106
685_bus,0.0043,0.0111
ABACUS_shell_hd,0.0059,0.0131
ABACUS_shell_ld,0.0059,0.0135
ABACUS_shell_md,0.0059,0.0130
ABACUS_shell_ud,0.0061,0.0137
ACTIVSg10K,0.0055,0.0127
ACTIVSg2000,0.0048,0.0116
ACTIVSg70K,0.0067,0.0149
AS365,0.5263,0.4870
ASIC_100k,0.0114,0.0188
ASIC_100ks,0.0085,0.0169
ASIC_320k,0.0356,0.0351
ASIC_320ks,0.0185,0.0287
ASIC_680k,0.0543,0.0516
ASIC_680ks,0.0417,0.0400
Alemdar,0.0050,0.0123
Andrews,0.0142,0.0232
Baumann,0.0084,0.0184
BenElechi1,0.1223,0.1239
Binaryalphadigs_10NN,0.0047,0.0111
Bump_2911,1.0990,1.2036
CAG_mat1916,0.0062,0.0126
CAG_mat364,0.0046,0.0100
CAG_mat72,0.0043,0.0095
CO,0.0799,0.0769
CSphd,0.0060,0.0132
California,0.0064,0.0131
Chebyshev1,0.0042,0.0103
Chebyshev2,0.0117,0.0111
Chebyshev3,0.0173,0.0118
Chebyshev4,0.2731,0.0541
Chem97ZtZ,0.0045,0.0116
Chevron1,0.0062,0.0143
Chevron2,0.0090,0.0177
Chevron3,0.0457,0.0449
Chevron4,0.0771,0.0741
CollegeMsg,0.0054,0.0120
CoupCons3D,0.2112,0.2013
Cube_Coup_dt0,1.1081,1.1633
Cube_Coup_dt6,1.1082,1.1634
CurlCurl_0,0.0053,0.0127
CurlCurl_1,0.0302,0.0340
CurlCurl_2,0.0995,0.0979
CurlCurl_3,0.1438,0.1511
CurlCurl_4,0.2683,0.2969
DK01R,0.0045,0.0109
Dubcova1,0.0061,0.0132
Dubcova2,0.0120,0.0205
Dubcova3,0.0441,0.0431
EAT_RS,0.0115,0.0172
EAT_SR,0.0097,0.0170
EPA,0.0078,0.0149
EVA,0.0135,0.0195
EX1,0.0049,0.0111
EX2,0.0048,0.0107
EX3,0.0053,0.0117
EX4,0.0052,0.0116
EX5,0.0068,0.0134
EX6,0.0071,0.0137
Ecoli_10NN,0.0047,0.0106
Emilia_923,0.3614,0.3681
Erdos02,0.0063,0.0125
Erdos971,0.0046,0.0108
Erdos972,0.0061,0.0125
Erdos981,0.0046,0.0109
Erdos982,0.0062,0.0121
Erdos991,0.0046,0.0105
Erdos992,0.0060,0.0127
F1,0.2503,0.2360
F2,0.0552,0.0578
FA,0.0064,0.0136
FEM_3D_thermal1,0.0068,0.0145
FEM_3D_thermal2,0.0427,0.0426
Fashion_MNIST_norm_10NN,0.0071,0.0152
Fault_639,0.2549,0.2557
Flan_1565,0.9964,1.0478
Freescale1,0.2691,0.2937
Freescale2,0.2812,0.2934
FullChip,0.3310,0.3292
G1,0.0049,0.0108
G10,0.0051,0.0111
G11,0.0041,0.0107
G12,0.0041,0.0105
G13,0.0041,0.0110
G14,0.0045,0.0107
G15,0.0045,0.0107
G16,0.0047,0.0110
G17,0.0047,0.0111
G18,0.0048,0.0111
G19,0.0046,0.0109
G2,0.0050,0.0115
G20,0.0046,0.0110
G21,0.0045,0.0109
G22,0.0053,0.0124
G23,0.0052,0.0120
G24,0.0052,0.0120
G25,0.0052,0.0124
G26,0.0054,0.0121
G27,0.0053,0.0123
G28,0.0052,0.0120
G29,0.0054,0.0121
G2_circuit,0.0087,0.0184
G3,0.0050,0.0114
G30,0.0053,0.0120
G31,0.0054,0.0122
G32,0.0042,0.0111
G33,0.0042,0.0111
G34,0.0044,0.0113
G35,0.0049,0.0116
G36,0.0051,0.0115
G37,0.0050,0.0115
G38,0.0051,0.0114
G39,0.0049,0.0117
G3_circuit,0.1047,0.1173
G4,0.0052,0.0112
G40,0.0049,0.0113
G41,0.0049,0.0118
G42,0.0050,0.0119
G43,0.0047,0.0109
G44,0.0050,0.0112
G45,0.0050,0.0112
G46,0.0047,0.0109
G47,0.0047,0.0109
G48,0.0043,0.0116
G49,0.0043,0.0113
G5,0.0050,0.0108
G50,0.0042,0.0113
G51,0.0045,0.0107
G52,0.0046,0.0111
G53,0.0048,0.0112
G54,0.0045,0.0107
G55,0.0051,0.0117
G56,0.0054,0.0121
G57,0.0044,0.0116
G58,0.0066,0.0134
G59,0.0064,0.0131
G6,0.0052,0.0111
G60,0.0053,0.0122
G61,0.0052,0.0121
G62,0.0045,0.0118
G63,0.0065,0.0128
G64,0.0065,0.0128
G65,0.0043,0.0115
G66,0.0044,0.0117
G67,0.0045,0.0122
G7,0.0049,0.0109
G8,0.0050,0.0108
G9,0.0051,0.0109
GAP-road,1.1699,1.1861
GAP-twitter,72.1764,62.1925
GAP-web,16.8642,17.9285
GD00_c,0.0056,0.0109
GD06_Java,0.0046,0.0113
GD96_a,0.0051,0.0111
GT01R,0.0068,0.0139
G_n_pin_pout,0.0148,0.0228
Ga10As10H30,0.0640,0.0634
Ga19As19H42,0.0875,0.0850
Ga3As3H12,0.0616,0.0569
Ga41As41H72,0.1694,0.1623
GaAsH6,0.0397,0.0380
Ge87H76,0.0787,0.0776
Ge99H100,0.0829,0.0816
Geo_1438,0.5505,0.5878
Glass_10NN,0.0044,0.0102
Goodwin_010,0.0048,0.0112
Goodwin_013,0.0050,0.0114
Goodwin_017,0.0051,0.0120
Goodwin_023,0.0059,0.0127
Goodwin_030,0.0065,0.0136
Goodwin_040,0.0082,0.0155
Goodwin_054,0.0115,0.0188
Goodwin_071,0.0155,0.0244
Goodwin_095,0.0405,0.0406
Goodwin_127,0.0643,0.0640
H2O,0.0207,0.0281
HEP-th-new,0.0112,0.0195
HEP-th,0.0101,0.0181
HTC_336_4438,0.0110,0.0214
HTC_336_9129,0.0105,0.0211
HV15R,2.2515,2.4486
Hamrle2,0.0047,0.0120
Hamrle3,0.0857,0.0946
Hardesty1,0.1301,0.1280
Harvard500,0.0050,0.0106
Hook_1498,0.5411,0.5702
Ill_Stokes,0.0077,0.0151
JapaneseVowelsSmall_10NN,0.0058,0.0130
Journals,0.0048,0.0101
Kaufhold,0.0048,0.0121
Kohonen,0.0082,0.0159
Kuu,0.0065,0.0135
L-9,0.0053,0.0125
L,0.0046,0.0108
LF10000,0.0050,0.0127
LFAT5000,0.0052,0.0126
LeGresley_2508,0.0047,0.0115
LeGresley_4908,0.0050,0.0118
LeGresley_87936,0.0091,0.0175
Lederberg,0.0067,0.0134
Lin,0.0162,0.0267
Linux_call_graph,0.0161,0.0250
Long_Coup_dt0,0.7622,0.7881
Long_Coup_dt6,0.7621,0.7880
M10PI_n,0.0044,0.0107
M10PI_n1,0.0047,0.0111
M20PI_n,0.0044,0.0113
M20PI_n1,0.0045,0.0110
M40PI_n,0.0046,0.0113
M40PI_n1,0.0046,0.0116
M6,0.4814,0.4427
