Matrix Name,cd_perf (ms),cusparse_perf (ms)
1138_bus,0.0048,0.0112
144,0.0275,0.0367
2D_27628_bjtcai,0.0071,0.0148
2D_54019_highK,0.0111,0.0193
2cubes_sphere,0.0167,0.0252
333SP,0.3194,0.3065
3D_28984_Tetra,0.0081,0.0157
3D_51448_3D,0.0115,0.0190
3Dspectralwave,0.3042,0.2925
3Dspectralwave2,0.1358,0.1313
3dtube,0.0377,0.0376
3elt,0.0045,0.0120
3elt_dual,0.0047,0.0123
494_bus,0.0049,0.0105
598a,0.0207,0.0298
662_bus,0.0050,0.0111
685_bus,0.0042,0.0111
ABACUS_shell_hd,0.0061,0.0136
ABACUS_shell_ld,0.0061,0.0137
ABACUS_shell_md,0.0059,0.0133
ABACUS_shell_ud,0.0061,0.0138
ACTIVSg10K,0.0056,0.0131
ACTIVSg2000,0.0047,0.0116
ACTIVSg70K,0.0065,0.0145
AS365,0.5262,0.4871
ASIC_100k,0.0113,0.0186
ASIC_100ks,0.0086,0.0169
ASIC_320k,0.0355,0.0348
ASIC_320ks,0.0184,0.0292
ASIC_680k,0.0538,0.0519
ASIC_680ks,0.0415,0.0404
Alemdar,0.0050,0.0123
Andrews,0.0142,0.0233
Baumann,0.0084,0.0182
BenElechi1,0.1220,0.1231
Binaryalphadigs_10NN,0.0046,0.0109
CAG_mat1916,0.0060,0.0123
CAG_mat364,0.0049,0.0105
CAG_mat72,0.0044,0.0093
CO,0.0794,0.0760
CSphd,0.0060,0.0133
California,0.0064,0.0132
Chebyshev1,0.0044,0.0112
Chebyshev2,0.0118,0.0121
Chebyshev3,0.0175,0.0120
Chebyshev4,0.2729,0.0524
Chem97ZtZ,0.0046,0.0115
Chevron1,0.0061,0.0142
Chevron2,0.0090,0.0183
Chevron3,0.0456,0.0448
Chevron4,0.0771,0.0741
CollegeMsg,0.0055,0.0116
CurlCurl_0,0.0051,0.0124
CurlCurl_1,0.0310,0.0339
CurlCurl_2,0.0992,0.0985
CurlCurl_3,0.1439,0.1509
CurlCurl_4,0.2688,0.2970
DK01R,0.0046,0.0114
Dubcova1,0.0061,0.0134
Dubcova2,0.0119,0.0205
Dubcova3,0.0439,0.0437
EAT_RS,0.0114,0.0170
EAT_SR,0.0097,0.0169
EPA,0.0078,0.0148
EVA,0.0136,0.0195
EX1,0.0046,0.0105
EX2,0.0047,0.0107
EX3,0.0052,0.0115
EX4,0.0053,0.0118
EX5,0.0068,0.0134
EX6,0.0070,0.0136
Ecoli_10NN,0.0044,0.0102
Emilia_923,0.3620,0.3679
Erdos02,0.0063,0.0128
Erdos971,0.0046,0.0104
Erdos972,0.0060,0.0121
Erdos981,0.0046,0.0109
Erdos982,0.0064,0.0123
Erdos991,0.0048,0.0103
Erdos992,0.0063,0.0130
F1,0.2507,0.2369
F2,0.0551,0.0571
FA,0.0064,0.0134
FEM_3D_thermal1,0.0070,0.0146
FEM_3D_thermal2,0.0425,0.0426
Fashion_MNIST_norm_10NN,0.0071,0.0152
Fault_639,0.2548,0.2561
Freescale1,0.2693,0.2939
Freescale2,0.2817,0.2935
FullChip,0.3304,0.3287
G1,0.0051,0.0109
G10,0.0051,0.0110
G11,0.0043,0.0106
G12,0.0044,0.0109
G13,0.0041,0.0112
G14,0.0048,0.0112
G15,0.0045,0.0108
G16,0.0048,0.0112
G17,0.0048,0.0111
G18,0.0046,0.0109
G19,0.0046,0.0108
G2,0.0049,0.0109
G20,0.0046,0.0107
G21,0.0048,0.0112
G22,0.0053,0.0125
G23,0.0055,0.0122
G24,0.0053,0.0124
G25,0.0053,0.0120
G26,0.0053,0.0120
G27,0.0055,0.0124
G28,0.0053,0.0120
G29,0.0054,0.0121
G2_circuit,0.0090,0.0189
G3,0.0051,0.0109
G30,0.0052,0.0120
G31,0.0053,0.0120
G32,0.0042,0.0109
G33,0.0044,0.0114
G34,0.0042,0.0109
G35,0.0049,0.0114
G36,0.0048,0.0113
G37,0.0049,0.0118
G38,0.0049,0.0119
G39,0.0049,0.0115
G3_circuit,0.1044,0.1176
G4,0.0050,0.0114
G40,0.0049,0.0113
G41,0.0049,0.0119
G42,0.0050,0.0119
G43,0.0048,0.0111
G44,0.0048,0.0110
G45,0.0048,0.0114
G46,0.0048,0.0112
G47,0.0048,0.0110
G48,0.0042,0.0113
G49,0.0045,0.0115
G5,0.0052,0.0113
G50,0.0045,0.0117
G51,0.0046,0.0108
G52,0.0046,0.0111
G53,0.0046,0.0108
G54,0.0047,0.0108
G55,0.0054,0.0122
G56,0.0052,0.0119
G57,0.0042,0.0115
G58,0.0065,0.0132
G59,0.0065,0.0131
G6,0.0050,0.0108
G60,0.0053,0.0122
G61,0.0053,0.0124
G62,0.0043,0.0117
G63,0.0065,0.0132
G64,0.0065,0.0128
G65,0.0044,0.0117
G66,0.0044,0.0122
G67,0.0047,0.0120
G7,0.0050,0.0115
G8,0.0051,0.0111
G9,0.0050,0.0110
GD00_c,0.0057,0.0114
GD06_Java,0.0046,0.0114
GD96_a,0.0053,0.0114
GT01R,0.0067,0.0139
G_n_pin_pout,0.0148,0.0231
Ga10As10H30,0.0637,0.0618
Ga19As19H42,0.0869,0.0843
Ga3As3H12,0.0616,0.0578
Ga41As41H72,0.1690,0.1607
GaAsH6,0.0397,0.0355
Ge87H76,0.0787,0.0766
Ge99H100,0.0829,0.0815
