Matrix Name,Rows,NNZs,Parameters (colProp, rowProp),TC_nnz_ratio,se_spmv (ms),cdspmv (ms)
Bump_2911,2911419,127729899,(0.1875, 0.15),0.387795,0.109,0.9467
Bump_2911,2911419,127729899,(0.25, 0.2),0.398398,0.1582,0.8947
Bump_2911,2911419,127729899,(0.3125, 0.25),0.405556,0.2031,0.8419
Bump_2911,2911419,127729899,(0.375, 0.3),0.412344,0.2536,0.7931
Bump_2911,2911419,127729899,(0.4375, 0.35),0.416345,0.3161,0.7452
Bump_2911,2911419,127729899,(0.5, 0.4),0.418655,0.3843,0.6949
Bump_2911,2911419,127729899,(0.5625, 0.45),0.419305,0.4477,0.6445
Bump_2911,2911419,127729899,(0.625, 0.5),0.419532,0.4954,0.5929
Bump_2911,2911419,127729899,(0.6875, 0.55),0.419632,0.551,0.5435
Bump_2911,2911419,127729899,(0.75, 0.6),0.419782,0.6093,0.4937
Bump_2911,2911419,127729899,(0.8125, 0.65),0.419404,0.6646,0.4442
Bump_2911,2911419,127729899,(0.875, 0.7),0.418474,0.7267,0.3933
CoupCons3D,416800,22322336,(0.1875, 0.15),0.559827,0.0183,0.1831
CoupCons3D,416800,22322336,(0.25, 0.2),0.562232,0.0365,0.1729
CoupCons3D,416800,22322336,(0.3125, 0.25),0.553184,0.0447,0.1641
CoupCons3D,416800,22322336,(0.375, 0.3),0.546101,0.0529,0.1526
CoupCons3D,416800,22322336,(0.4375, 0.35),0.542657,0.0616,0.1432
CoupCons3D,416800,22322336,(0.5, 0.4),0.548954,0.0755,0.1327
CoupCons3D,416800,22322336,(0.5625, 0.45),0.554274,0.0844,0.1241
CoupCons3D,416800,22322336,(0.625, 0.5),0.555585,0.0929,0.1152
CoupCons3D,416800,22322336,(0.6875, 0.55),0.566118,0.1016,0.3423
CoupCons3D,416800,22322336,(0.75, 0.6),0.556401,0.1099,0.3512
CoupCons3D,416800,22322336,(0.8125, 0.65),0.557307,0.117,0.3311
CoupCons3D,416800,22322336,(0.875, 0.7),0.559897,0.1259,0.3382
Cube_Coup_dt0,2164760,127206144,(0.1875, 0.15),0.624581,0.1154,0.9537
Cube_Coup_dt0,2164760,127206144,(0.25, 0.2),0.624306,0.16,0.9005
Cube_Coup_dt0,2164760,127206144,(0.3125, 0.25),0.623990,0.2091,0.8477
Cube_Coup_dt0,2164760,127206144,(0.375, 0.3),0.623946,0.2648,0.7945
Cube_Coup_dt0,2164760,127206144,(0.4375, 0.35),0.623907,0.3036,0.7411
Cube_Coup_dt0,2164760,127206144,(0.5, 0.4),0.622176,0.3527,0.6893
Cube_Coup_dt0,2164760,127206144,(0.5625, 0.45),0.619819,0.4109,0.6371
Cube_Coup_dt0,2164760,127206144,(0.625, 0.5),0.617303,0.459,0.5837
Cube_Coup_dt0,2164760,127206144,(0.6875, 0.55),0.615449,0.5204,0.5306
Cube_Coup_dt0,2164760,127206144,(0.75, 0.6),0.614580,0.5844,0.4762
Cube_Coup_dt0,2164760,127206144,(0.8125, 0.65),0.614249,0.6368,0.4234
Cube_Coup_dt0,2164760,127206144,(0.875, 0.7),0.614697,0.6959,0.3711
Cube_Coup_dt6,2164760,127206144,(0.1875, 0.15),0.624581,0.1155,0.9538
Cube_Coup_dt6,2164760,127206144,(0.25, 0.2),0.624306,0.16,0.9001
Cube_Coup_dt6,2164760,127206144,(0.3125, 0.25),0.623990,0.2091,0.848
Cube_Coup_dt6,2164760,127206144,(0.375, 0.3),0.623946,0.2649,0.7948
Cube_Coup_dt6,2164760,127206144,(0.4375, 0.35),0.623907,0.3037,0.7411
Cube_Coup_dt6,2164760,127206144,(0.5, 0.4),0.622176,0.3527,0.6897
Cube_Coup_dt6,2164760,127206144,(0.5625, 0.45),0.619819,0.4109,0.637
Cube_Coup_dt6,2164760,127206144,(0.625, 0.5),0.617303,0.459,0.5835
Cube_Coup_dt6,2164760,127206144,(0.6875, 0.55),0.615449,0.5205,0.5306
Cube_Coup_dt6,2164760,127206144,(0.75, 0.6),0.614580,0.5844,0.4758
Cube_Coup_dt6,2164760,127206144,(0.8125, 0.65),0.614249,0.6368,0.4235
Cube_Coup_dt6,2164760,127206144,(0.875, 0.7),0.614697,0.6959,0.3711
Flan_1565,1564794,117406044,(0.1875, 0.15),0.481176,0.1035,0.8556
Flan_1565,1564794,117406044,(0.25, 0.2),0.477184,0.1481,0.8097
Flan_1565,1564794,117406044,(0.3125, 0.25),0.474757,0.1946,0.7617
Flan_1565,1564794,117406044,(0.375, 0.3),0.474120,0.2349,0.714
Flan_1565,1564794,117406044,(0.4375, 0.35),0.472560,0.2733,0.6675
Flan_1565,1564794,117406044,(0.5, 0.4),0.473063,0.3224,0.6199
Flan_1565,1564794,117406044,(0.5625, 0.45),0.473247,0.3615,0.5729
Flan_1565,1564794,117406044,(0.625, 0.5),0.473766,0.4137,0.525
Flan_1565,1564794,117406044,(0.6875, 0.55),0.474917,0.4523,0.4779
Flan_1565,1564794,117406044,(0.75, 0.6),0.475795,0.5146,0.4303
Flan_1565,1564794,117406044,(0.8125, 0.65),0.477123,0.5632,0.3837
Flan_1565,1564794,117406044,(0.875, 0.7),0.482729,0.6142,0.3352
GAP-road,23947347,57708624,(0.1875, 0.15),0.128760,0.0831,1.0655
GAP-road,23947347,57708624,(0.25, 0.2),0.128007,0.1389,1.0202
GAP-road,23947347,57708624,(0.3125, 0.25),0.127773,0.1965,0.9743
GAP-road,23947347,57708624,(0.375, 0.3),0.127921,0.2471,0.9388
GAP-road,23947347,57708624,(0.4375, 0.35),0.128259,0.2903,0.9063
GAP-road,23947347,57708624,(0.5, 0.4),0.128149,0.3479,0.8766
GAP-road,23947347,57708624,(0.5625, 0.45),0.128033,0.4059,0.8462
GAP-road,23947347,57708624,(0.625, 0.5),0.127954,0.4559,0.8152
GAP-road,23947347,57708624,(0.6875, 0.55),0.127957,0.5059,0.7897
GAP-road,23947347,57708624,(0.75, 0.6),0.127808,0.5457,0.7588
GAP-road,23947347,57708624,(0.8125, 0.65),0.127753,0.6055,0.705
GAP-road,23947347,57708624,(0.875, 0.7),0.127610,0.6624,0.6535
GAP-web,50636151,1930292948,(0.1875, 0.15),0.943833,1.6393,14.9884
GAP-web,50636151,1930292948,(0.25, 0.2),0.947203,2.4047,14.2074
GAP-web,50636151,1930292948,(0.3125, 0.25),0.950682,3.1663,13.3898
GAP-web,50636151,1930292948,(0.375, 0.3),0.942562,3.9459,12.564
GAP-web,50636151,1930292948,(0.4375, 0.35),0.933926,4.7208,11.7619
GAP-web,50636151,1930292948,(0.5, 0.4),0.925639,5.499,10.9548
GAP-web,50636151,1930292948,(0.5625, 0.45),0.909102,6.2785,10.1524
GAP-web,50636151,1930292948,(0.625, 0.5),0.747366,7.0639,9.4112
GAP-web,50636151,1930292948,(0.6875, 0.55),0.731374,7.8142,8.5798
GAP-web,50636151,1930292948,(0.75, 0.6),0.699003,8.6243,7.7488
GAP-web,50636151,1930292948,(0.8125, 0.65),0.662606,9.4337,6.9258
GAP-web,50636151,1930292948,(0.875, 0.7),0.633571,10.2527,6.0847
Long_Coup_dt0,1470152,87088992,(0.1875, 0.15),0.553532,0.0882,0.6567
Long_Coup_dt0,1470152,87088992,(0.25, 0.2),0.553697,0.1146,0.6236
Long_Coup_dt0,1470152,87088992,(0.3125, 0.25),0.554546,0.1476,0.5865
Long_Coup_dt0,1470152,87088992,(0.375, 0.3),0.555133,0.184,0.5512
Long_Coup_dt0,1470152,87088992,(0.4375, 0.35),0.557172,0.2205,0.5164
Long_Coup_dt0,1470152,87088992,(0.5, 0.4),0.560174,0.2513,0.4821
Long_Coup_dt0,1470152,87088992,(0.5625, 0.45),0.562438,0.2795,0.4449
Long_Coup_dt0,1470152,87088992,(0.625, 0.5),0.563492,0.322,0.4099
Long_Coup_dt0,1470152,87088992,(0.6875, 0.55),0.564674,0.3488,0.3737
Long_Coup_dt0,1470152,87088992,(0.75, 0.6),0.566078,0.3966,0.3368
Long_Coup_dt0,1470152,87088992,(0.8125, 0.65),0.567653,0.4205,0.2998
Long_Coup_dt0,1470152,87088992,(0.875, 0.7),0.570260,0.4578,0.2647
Long_Coup_dt6,1470152,87088992,(0.1875, 0.15),0.553532,0.0882,0.6568
Long_Coup_dt6,1470152,87088992,(0.25, 0.2),0.553697,0.1145,0.6239
Long_Coup_dt6,1470152,87088992,(0.3125, 0.25),0.554546,0.1475,0.5864
Long_Coup_dt6,1470152,87088992,(0.375, 0.3),0.555133,0.1839,0.5512
