Matrix Name,Rows,NNZs,Parameters (colProp, rowProp),TC_nnz_ratio,se_spmv (ms),cdspmv (ms)
Bump_2911,2911419,127729899,(0.125, 0.1),0.362320,0.0942,0.5176
Bump_2911,2911419,127729899,(0.1875, 0.15),0.387795,0.1134,0.4903
Bump_2911,2911419,127729899,(0.25, 0.2),0.398398,0.1404,0.4637
Bump_2911,2911419,127729899,(0.3125, 0.25),0.405556,0.1698,0.4365
Bump_2911,2911419,127729899,(0.375, 0.3),0.412344,0.2004,0.4117
Bump_2911,2911419,127729899,(0.4375, 0.35),0.416345,0.2323,0.3873
Bump_2911,2911419,127729899,(0.5, 0.4),0.418655,0.2642,0.362
Bump_2911,2911419,127729899,(0.5625, 0.45),0.419305,0.2951,0.3376
Bump_2911,2911419,127729899,(0.625, 0.5),0.419532,0.3255,0.3128
Bump_2911,2911419,127729899,(0.6875, 0.55),0.419632,0.3572,0.2889
Bump_2911,2911419,127729899,(0.75, 0.6),0.419782,0.3878,0.2648
Bump_2911,2911419,127729899,(0.8125, 0.65),0.419404,0.4195,0.2408
Bump_2911,2911419,127729899,(0.875, 0.7),0.418474,0.4506,0.2164
CoupCons3D,416800,22322336,(0.125, 0.1),0.563779,0.0167,0.0943
CoupCons3D,416800,22322336,(0.1875, 0.15),0.559827,0.0226,0.0904
CoupCons3D,416800,22322336,(0.25, 0.2),0.562232,0.0336,0.0873
CoupCons3D,416800,22322336,(0.3125, 0.25),0.553184,0.0404,0.0823
CoupCons3D,416800,22322336,(0.375, 0.3),0.546101,0.0468,0.0776
CoupCons3D,416800,22322336,(0.4375, 0.35),0.542657,0.0525,0.0733
CoupCons3D,416800,22322336,(0.5, 0.4),0.548954,0.0563,0.0685
CoupCons3D,416800,22322336,(0.5625, 0.45),0.554274,0.0606,0.0633
CoupCons3D,416800,22322336,(0.625, 0.5),0.555585,0.0655,0.0595
CoupCons3D,416800,22322336,(0.6875, 0.55),0.566118,0.0695,0.6194
CoupCons3D,416800,22322336,(0.75, 0.6),0.556401,0.0783,0.6283
CoupCons3D,416800,22322336,(0.8125, 0.65),0.557307,0.0831,0.5869
CoupCons3D,416800,22322336,(0.875, 0.7),0.559897,0.0874,0.7126
Cube_Coup_dt0,2164760,127206144,(0.125, 0.1),0.622408,0.0694,0.4818
Cube_Coup_dt0,2164760,127206144,(0.1875, 0.15),0.624581,0.0999,0.4575
Cube_Coup_dt0,2164760,127206144,(0.25, 0.2),0.624306,0.1438,0.4323
Cube_Coup_dt0,2164760,127206144,(0.3125, 0.25),0.623990,0.1643,0.4074
Cube_Coup_dt0,2164760,127206144,(0.375, 0.3),0.623946,0.1976,0.3825
Cube_Coup_dt0,2164760,127206144,(0.4375, 0.35),0.623907,0.2308,0.358
Cube_Coup_dt0,2164760,127206144,(0.5, 0.4),0.622176,0.2636,0.3331
Cube_Coup_dt0,2164760,127206144,(0.5625, 0.45),0.619819,0.2878,0.3084
Cube_Coup_dt0,2164760,127206144,(0.625, 0.5),0.617303,0.3197,0.2835
Cube_Coup_dt0,2164760,127206144,(0.6875, 0.55),0.615449,0.3522,0.2586
Cube_Coup_dt0,2164760,127206144,(0.75, 0.6),0.614580,0.385,0.2335
Cube_Coup_dt0,2164760,127206144,(0.8125, 0.65),0.614249,0.4127,0.2086
Cube_Coup_dt0,2164760,127206144,(0.875, 0.7),0.614697,0.4414,0.184
Cube_Coup_dt6,2164760,127206144,(0.125, 0.1),0.622408,0.0694,0.4821
Cube_Coup_dt6,2164760,127206144,(0.1875, 0.15),0.624581,0.1,0.4576
Cube_Coup_dt6,2164760,127206144,(0.25, 0.2),0.624306,0.1439,0.4323
Cube_Coup_dt6,2164760,127206144,(0.3125, 0.25),0.623990,0.1643,0.4074
Cube_Coup_dt6,2164760,127206144,(0.375, 0.3),0.623946,0.1976,0.3826
Cube_Coup_dt6,2164760,127206144,(0.4375, 0.35),0.623907,0.2308,0.358
Cube_Coup_dt6,2164760,127206144,(0.5, 0.4),0.622176,0.2636,0.3331
Cube_Coup_dt6,2164760,127206144,(0.5625, 0.45),0.619819,0.2879,0.3085
Cube_Coup_dt6,2164760,127206144,(0.625, 0.5),0.617303,0.3198,0.2835
Cube_Coup_dt6,2164760,127206144,(0.6875, 0.55),0.615449,0.3522,0.2585
Cube_Coup_dt6,2164760,127206144,(0.75, 0.6),0.614580,0.3848,0.2335
Cube_Coup_dt6,2164760,127206144,(0.8125, 0.65),0.614249,0.412,0.2086
Cube_Coup_dt6,2164760,127206144,(0.875, 0.7),0.614697,0.4411,0.184
Flan_1565,1564794,117406044,(0.125, 0.1),0.484327,0.0624,0.4519
Flan_1565,1564794,117406044,(0.1875, 0.15),0.481176,0.0873,0.4277
Flan_1565,1564794,117406044,(0.25, 0.2),0.477184,0.1137,0.4034
Flan_1565,1564794,117406044,(0.3125, 0.25),0.474757,0.1417,0.3801
Flan_1565,1564794,117406044,(0.375, 0.3),0.474120,0.1769,0.3568
Flan_1565,1564794,117406044,(0.4375, 0.35),0.472560,0.1958,0.3328
Flan_1565,1564794,117406044,(0.5, 0.4),0.473063,0.2269,0.3089
Flan_1565,1564794,117406044,(0.5625, 0.45),0.473247,0.2479,0.2852
Flan_1565,1564794,117406044,(0.625, 0.5),0.473766,0.2768,0.2616
Flan_1565,1564794,117406044,(0.6875, 0.55),0.474917,0.3062,0.2378
Flan_1565,1564794,117406044,(0.75, 0.6),0.475795,0.3271,0.2135
Flan_1565,1564794,117406044,(0.8125, 0.65),0.477123,0.3572,0.1896
Flan_1565,1564794,117406044,(0.875, 0.7),0.482729,0.3759,0.2064
GAP-road,23947347,57708624,(0.125, 0.1),0.128555,0.0578,0.5777
GAP-road,23947347,57708624,(0.1875, 0.15),0.128760,0.0834,0.5682
GAP-road,23947347,57708624,(0.25, 0.2),0.128007,0.1108,0.5554
GAP-road,23947347,57708624,(0.3125, 0.25),0.127773,0.1393,0.5456
GAP-road,23947347,57708624,(0.375, 0.3),0.127921,0.1704,0.5368
GAP-road,23947347,57708624,(0.4375, 0.35),0.128259,0.2025,0.5281
GAP-road,23947347,57708624,(0.5, 0.4),0.128149,0.234,0.5187
GAP-road,23947347,57708624,(0.5625, 0.45),0.128033,0.2633,0.5107
GAP-road,23947347,57708624,(0.625, 0.5),0.127954,0.2952,0.5027
GAP-road,23947347,57708624,(0.6875, 0.55),0.127957,0.3227,0.52
GAP-road,23947347,57708624,(0.75, 0.6),0.127808,0.3432,0.5157
