Matrix Name,square_ratio
1138_bus,0.339114
144,0.488693
2D_27628_bjtcai,0.457004
2D_54019_highK,0.402136
2cubes_sphere,0.496267
333SP,0.492290
3D_28984_Tetra,0.445547
3D_51448_3D,0.447757
3Dspectralwave,0.380402
3Dspectralwave2,0.381165
3dtube,0.431092
3elt,0.457804
3elt_dual,0.464352
494_bus,0.362692
598a,0.403442
662_bus,0.398499
685_bus,0.369170
ABACUS_shell_hd,0.459885
ABACUS_shell_ld,0.459885
ABACUS_shell_md,0.459885
ABACUS_shell_ud,0.459885
ACTIVSg10K,0.344621
ACTIVSg2000,0.375254
ACTIVSg70K,0.349106
AS365,0.518735
ASIC_100k,0.360485
ASIC_100ks,0.378757
ASIC_320k,0.291497
ASIC_320ks,0.307262
ASIC_680k,0.308445
ASIC_680ks,0.321333
Alemdar,0.313707
Andrews,0.468189
Baumann,0.450470
BenElechi1,0.470886
Binaryalphadigs_10NN,0.469812
CAG_mat1916,0.136517
CAG_mat364,0.186458
CAG_mat72,0.249807
CO,0.421712
CSphd,0.118180
California,0.010871
Chebyshev1,0.355529
Chebyshev2,0.352528
Chebyshev3,0.352306
Chebyshev4,0.137613
Chem97ZtZ,0.399205
Chevron1,0.464024
Chevron2,0.469349
Chevron3,0.474613
Chevron4,0.476016
CollegeMsg,0.064060
CurlCurl_0,0.443615
CurlCurl_1,0.446646
CurlCurl_2,0.457165
CurlCurl_3,0.460366
CurlCurl_4,0.462762
DK01R,0.314022
Dubcova1,0.403965
Dubcova2,0.409705
Dubcova3,0.416751
EAT_RS,0.043985
EAT_SR,0.051876
EPA,0.029541
EVA,0.004543
EX1,0.515386
EX2,0.516760
EX3,0.532714
EX4,0.532714
EX5,0.544581
EX6,0.543614
Ecoli_10NN,0.469786
Emilia_923,0.475014
Erdos02,0.095888
Erdos971,0.125171
Erdos972,0.121380
Erdos981,0.127104
Erdos982,0.118955
Erdos991,0.127045
Erdos992,0.116829
F1,0.404368
F2,0.393221
FA,0.073990
FEM_3D_thermal1,0.430492
FEM_3D_thermal2,0.438483
Fashion_MNIST_norm_10NN,0.449515
Fault_639,0.478450
Freescale1,0.428867
Freescale2,0.237545
FullChip,0.359131
G1,0.532000
G10,0.529303
G11,0.480000
G12,0.480000
G13,0.480000
G14,0.362381
G15,0.364844
G16,0.363384
G17,0.366303
G18,0.362381
G19,0.364844
G2,0.529228
G20,0.363384
G21,0.366303
G22,0.478467
G23,0.482564
G24,0.478037
G25,0.481140
G26,0.480150
G27,0.478467
G28,0.482962
G29,0.478037
G2_circuit,0.438365
G3,0.529228
G30,0.481140
G31,0.480150
G32,0.480000
G33,0.480000
G34,0.480000
G35,0.360470
G36,0.361898
G37,0.361318
G38,0.361361
G39,0.360470
G3_circuit,0.437046
G4,0.527409
G40,0.361898
G41,0.361318
G42,0.361361
G43,0.481208
G44,0.480480
G45,0.483191
G46,0.486048
G47,0.486910
G48,0.480000
G49,0.480000
G5,0.529303
G50,0.480000
G51,0.364332
G52,0.364914
G53,0.364287
G54,0.364375
G55,0.354389
G56,0.354389
G57,0.480000
G58,0.360271
G59,0.360271
G6,0.532000
G60,0.352799
G61,0.352799
G62,0.480000
G63,0.359908
G64,0.359908
G65,0.480000
G66,0.480000
G67,0.480000
G7,0.529228
G8,0.529228
G9,0.527409
GD00_c,0.107924
GD06_Java,0.053808
GD96_a,0.365215
GT01R,0.485883
G_n_pin_pout,0.428275
Ga10As10H30,0.206936
Ga19As19H42,0.110996
Ga3As3H12,0.024642
Ga41As41H72,0.109186
GaAsH6,0.181451
Ge87H76,0.087216
Ge99H100,0.084356
Geo_1438,0.470587
Glass_10NN,0.486069
Goodwin_010,0.324152
Goodwin_013,0.339997
Goodwin_017,0.350471
Goodwin_023,0.360473
Goodwin_030,0.365558
Goodwin_040,0.371350
Goodwin_054,0.375404
Goodwin_071,0.381029
Goodwin_095,0.382133
Goodwin_127,0.383395
H2O,0.421757
HEP-th-new,0.067801
HEP-th,0.067706
HTC_336_4438,0.202042
HTC_336_9129,0.212889
HV15R,0.392357
Hamrle2,0.338100
Hamrle3,0.333621
Hardesty1,0.475101
Harvard500,0.068160
Hook_1498,0.406908
Ill_Stokes,0.436450
JapaneseVowelsSmall_10NN,0.481540
Journals,0.486472
Kaufhold,0.329556
Kohonen,0.033371
Kuu,0.411822
L-9,0.470203
L,0.446867
LF10000,0.479926
LFAT5000,0.351953
LeGresley_2508,0.320234
LeGresley_4908,0.345152
LeGresley_87936,0.351773
Lederberg,0.050104
Lin,0.466386
Linux_call_graph,0.045695
M10PI_n,0.429227
M10PI_n1,0.434781
M20PI_n,0.439969
M20PI_n1,0.439674
M40PI_n,0.442552
M40PI_n1,0.442599
M6,0.520819
M80PI_n,0.443835
M80PI_n1,0.444095
MISKnowledgeMap,0.254744
Muu,0.411725
NACA0015,0.521374
NLR,0.520583
Na5,0.134397
NotreDame_www,0.033195
NotreDame_yeast,0.167818
ODLIS,0.078658
OPF_10000,0.325473
OPF_3754,0.345618
OPF_6000,0.322368
Olivetti_norm_10NN,0.444850
Oregon-1,0.153755
Oregon-2,0.074889
PFlow_742,0.356642
PGPgiantcompo,0.086768
PR02R,0.335296
Pd,0.308169
Plants_10NN,0.473672
Pres_Poisson,0.447815
RFdevice,0.472815
Raj1,0.405444
Reuters911,0.024786
Roget,0.221590
S10PI_n,0.429227
S10PI_n1,0.434781
S20PI_n,0.439969
S20PI_n1,0.439674
S40PI_n,0.442552
